Name,City,State,Latitude,Longitude
ABILENE RGNL,ABILENE,TX,32.41133333324512,-99.68188888868421
NANTUCKET MEM,NANTUCKET,MA,41.252975055932225,-70.05991141733872
WACO RGNL,WACO,TX,31.612194444267846,-97.2303055562846
ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,NJ,39.45758333310054,-74.57716666721977
ARDMORE MUNI,ARDMORE,OK,34.303873444026365,-97.02059738897586
ALEXANDRIA INTERNATIONAL,ALEXANDRIA,LA,31.32737166666002,-92.54855611073745
AUGUSTA RGNL AT BUSH FLD,AUGUSTA,GA,33.36994444433138,-81.96449999977298
AKRON FULTON INTERNATIONAL,AKRON,OH,41.03750000020178,-81.46691666728304
ALBANY INTERNATIONAL,ALBANY,NY,42.74911611119041,-73.80197999968236
ALICE INTERNATIONAL,ALICE,TX,27.740888889308195,-98.02694444376107
AMARILLO INTERNATIONAL,AMARILLO,TX,35.21936111080778,-101.70591666669858
ANNISTON METROPOLITAN,ANNISTON,AL,33.58816666667717,-85.85811111056141
ANDERSON RGNL,ANDERSON,SC,34.49458333318694,-82.7093888885839
ALTOONA BLAIR CO,ALTOONA,PA,40.29636111127998,-78.32002777834134
ACADIANA REGIONAL,NEW IBERIA,LA,30.037758333324884,-91.88389611119251
ACADIANA REGIONAL,NEW IBERIA,LA,30.013055555931707,-91.86916666724414
WATERTOWN INTERNATIONAL,WATERTOWN,NY,43.991833333244166,-76.01941666725031
THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,GA,33.63669961099959,-84.42786399960696
AUGUSTA STATE,AUGUSTA,ME,44.32064972184695,-69.79731805572979
AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,TX,30.194527221815996,-97.6698761108326
BOCA RATON,BOCA RATON,FL,26.378499999995533,-80.10769444373743
BAUDETTE INTERNATIONAL,BAUDETTE,MN,48.73025000029174,-94.6110555559278
BRADLEY INTERNATIONAL,WINDSOR LOCKS,CT,41.939138888666506,-72.68336111081905
IGOR I SIKORSKY MEM,BRIDGEPORT,CT,41.163472222021014,-73.12616666669012
