Name,City,State,Longitude,Latitude
Los Angeles International Airport,LOS ANGELES,CA,-118.407997,33.942501
Chicago O'Hare International Airport,CHICAGO,IL,-87.9048,41.9786
John F Kennedy International Airport,NEW YORK,NY,-73.779317,40.639447
Hartsfield Jackson Atlanta International Airport,ATLANTA,GA,-84.428101,33.6367
San Francisco International Airport,SAN FRANCISCO,CA,-122.374821,37.619806
Newark Liberty International Airport,NEWARK,NJ,-74.168701,40.692501
Harry Reid International Airport,LAS VEGAS,NV,-115.151817,36.083361
Orlando International Airport,ORLANDO,FL,-81.30899810791016,28.429399490356445
Denver International Airport,DENVER,CO,-104.672996521,39.861698150635
Washington Dulles International Airport,DULLES,VA,-77.455803,38.9445
LaGuardia Airport,NEW YORK,NY,-73.872597,40.777199
Miami International Airport,MIAMI,FL,-80.29060363769531,25.79319953918457
Seattle–Tacoma International Airport,SEATTLE,WA,-122.310276,47.447943
Phoenix Sky Harbor International Airport,PHOENIX,AZ,-112.005905,33.435302
Logan International Airport,BOSTON,MA,-71.0079,42.36197
Philadelphia International Airport,PHILADELPHIA,PA,-75.241096,39.871899
Charlotte Douglas International Airport,CHARLOTTE,NC,-80.94309997558594,35.2140007019043
George Bush Intercontinental Houston Airport,HOUSTON,TX,-95.34140014648438,29.984399795532227
Detroit Metropolitan Wayne County Airport,DETROIT,MI,-83.353786,42.21377
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MINNEAPOLIS,MN,-93.221741,44.880081
Salt Lake City International Airport,SALT LAKE CITY,UT,-111.979866,40.78886
Chicago Midway International Airport,CHICAGO,IL,-87.752403,41.785999
Baltimore/Washington International Thurgood Marshall Airport,BALTIMORE,MD,-76.668297,39.1754
San Diego International Airport,SAN DIEGO,CA,-117.190002441,32.7336006165
St. Louis Lambert International Airport,ST LOUIS,MO,-90.370003,38.748697
Portland International Airport,PORTLAND,OR,-122.598,45.588699
Louis Armstrong New Orleans International Airport,NEW ORLEANS,LA,-90.258003,29.993401
Tampa International Airport,TAMPA,FL,-82.533203,27.9755
Nashville International Airport,NASHVILLE,TN,-86.6782,36.1245
Cincinnati Northern Kentucky International Airport,CINCINNATI / COVINGTON,KY,-84.667801,39.048801
Raleigh Durham International Airport,RALEIGH/DURHAM,NC,-78.787498,35.877602
Austin Bergstrom International Airport,AUSTIN,TX,-97.662015,30.197535
Pittsburgh International Airport,PITTSBURGH,PA,-80.232903,40.491501
San Antonio International Airport,SAN ANTONIO,TX,-98.469803,29.533701
Norman Y. Mineta San Jose International Airport,SAN JOSE,CA,-121.929188,37.362452
Kansas City International Airport,KANSAS CITY,MO,-94.713898,39.2976
San Francisco Bay Oakland International Airport,OAKLAND,CA,-122.221184,37.720085
John Wayne Orange County International Airport,SANTA ANA,CA,-117.867996,33.675701
Memphis International Airport,MEMPHIS,TN,-89.9767,35.0424
Cleveland Hopkins International Airport,CLEVELAND,OH,-81.8498,41.411701
William P Hobby Airport,HOUSTON,TX,-95.2789,29.645399
Dallas Love Field,DALLAS,TX,-96.851799,32.847099
Indianapolis International Airport,INDIANAPOLIS,IN,-86.294403,39.7173
Albuquerque International Sunport,ALBUQUERQUE,NM,-106.608925,35.039976
John Glenn Columbus International Airport,COLUMBUS,OH,-82.891899,39.998001
General Mitchell International Airport,MILWAUKEE,WI,-87.896599,42.947201
Jacksonville International Airport,JACKSONVILLE,FL,-81.687813,30.492469
Buffalo Niagara International Airport,BUFFALO,NY,-78.732201,42.940498
Bradley International Airport,HARTFORD,CT,-72.688066,41.93851
Will Rogers World Airport,OKLAHOMA CITY,OK,-97.598248,35.393388
Sacramento International Airport,SACRAMENTO,CA,-121.591003,38.6954
Eppley Airfield,OMAHA,NE,-95.894096,41.3032
Hollywood Burbank Airport,BURBANK,CA,-118.356378,34.197703
Charleston International Airport,CHARLESTON,SC,-80.040497,32.898602
Palm Beach International Airport,WEST PALM BEACH,FL,-80.095596,26.683201
Louisville Muhammad Ali International Airport,LOUISVILLE,KY,-85.736,38.1744
El Paso International Airport,EL PASO,TX,-106.377998,31.807199
Reno Tahoe International Airport,RENO,NV,-119.767998,39.4991
Norfolk International Airport,NORFOLK,VA,-76.201,36.895341
Theodore Francis Green State Airport,WARWICK,RI,-71.425668,41.725038
Long Beach Airport (Daugherty Field),LONG BEACH,CA,-118.149891,33.816523
Richmond International Airport,RICHMOND,VA,-77.319702,37.505199
Savannah Hilton Head International Airport,SAVANNAH,GA,-81.202103,32.127602
Birmingham-Shuttlesworth International Airport,BIRMINGHAM,AL,-86.753502,33.562901
Albany International Airport,ALBANY,NY,-73.80169677734375,42.74829864501953
Ontario International Airport,ONTARIO,CA,-117.600998,34.056
Westchester County Airport,WHITE PLAINS,NY,-73.70760345458984,41.06700134277344
Boise Air Terminal/Gowen Field,BOISE,ID,-116.223,43.5644
Syracuse Hancock International Airport,SYRACUSE,NY,-76.1063003540039,43.11119842529297
Gerald R. Ford International Airport,GRAND RAPIDS,MI,-85.52279663,42.88079834
Des Moines International Airport,DES MOINES,IA,-93.663101,41.534
Wittman Regional Airport,OSHKOSH,WI,-88.55699920654297,43.98440170288086
Wichita Eisenhower National Airport,WICHITA,KS,-97.433098,37.649899
Frederick Douglass Greater Rochester International Airport,ROCHESTER,NY,-77.672401,43.1189
James M Cox Dayton International Airport,DAYTON,OH,-84.219398,39.902401
Tulsa International Airport,TULSA,OK,-95.88809967041016,36.19839859008789
Dane County Regional Truax Field,MADISON,WI,-89.337502,43.1399
Portland International Jetport,PORTLAND,ME,-70.309303,43.646198
City of Colorado Springs Municipal Airport,COLORADO SPRINGS,CO,-104.700996,38.805801
