Name,City,State,Longitude,Latitude
SUPREME COURT BUILDING,MONTGOMERY,AL,-86.3042106,32.3768706
BUSINESS CENTER OF ALABAMA,MONTGOMERY,AL,-86.2961164,32.3778377
WYOMING INSURANCE DEPARTMENT,CHEYENNE,WY,-104.8221035,41.1516869
WISCONSIN RAPIDS STATE OFFICE BUILDING,WISCONSIN RAPIDS,WI,-89.8438334,44.3800043
ROBERT SMILEY BUILDING,BOISE,ID,-116.112897,43.563446
MAZYIO BUILDING,DOVER,DE,-75.5240409,39.1542341
HASLET ARMORY,DOVER,DE,-75.520523,39.1560298
EAST COMPLEX - PERA BUILDING,SANTA FE,NM,-105.9360519,35.682237
DEPARTMENT OF NATURAL RESOURCES BUILDING,OLYMPIA,WA,-122.8977855,47.0373682
EDNA LUCILLE GOODRICH BUILDING,TUMWATER,WA,-122.9191084,46.9815664
CHITTENDEN BANK BUILDING,MONTPELIER,VT,-72.5799823,44.2608495
STATE HOUSE,TRENTON,NJ,-74.7697966,40.2207155
SOUTH CAROLINA DEPARTMENT OF MOTOR VEHICLES - BUILDING C,BLYTHEWOOD,SC,-80.9737854,34.1783467
FLETCHER DANIELS STATE OFFICE BUILDING,KANSAS CITY,MO,-94.575831,39.097544
MONROE STATE OFFICE BUILDING,MONROE,LA,-92.1170121,32.5008326
DEPARTMENT OF AGRICULTURE,LITTLE ROCK,AR,-92.388418,34.758551
CCOC BUILDING 4030,TALLAHASSEE,FL,-84.2331966,30.3905751
SOUTH COMPLEX - JOSEPH MONTOYA BUILDING,SANTA FE,NM,-105.9547162,35.6734748
DELAWARE DEPARTMENT OF CORRECTIONS CENTRAL ADMINISTRATION BUILDING,DOVER,DE,-75.5490446,39.1739932
SUPREME COURT BUILDING,CONCORD,NH,-71.5211598,43.2115547
AMINISTRATIVE OFFICE OF THE COURTS BUILDING,CONCORD,NH,-71.5202657,43.2111379
WASHINGTON STATE DEPARTMENT OF REVENUE,OLYMPIA,WA,-122.8879037,47.039571
TOWN CENTER 1,OLYMPIA,WA,-122.9060962,46.9850859
VERMONT DEPARTMENT OF LABOR,MONTPELIER,VT,-72.5901797,44.2584712
WASHINGTON STATE DEPARTMENT OF LABOR AND INDUSTRIES,OLYMPIA,WA,-122.9208802,46.9832404
EQUITABLE BUILDING,NEW YORK,NY,-74.0101158,40.7080358
LYNDON B JOHNSON BUILDING,AUSTIN,TX,-97.737693,30.278275
NEW MEXICO DEPARTMENT OF AGRICULTURE BUILDING,LAS CRUCES,NM,-106.7551939,32.2775379
WISCONSIN PUBLIC BROADCASTING CENTER,MADISON,WI,-89.432733,43.034858
NEIL KIRKMAN BUILDING,TALLAHASSEE,FL,-84.2318858,30.4282328
