Name,City,State,Longitude,Latitude
HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,BAYTOWN,TX,-94.94547682,29.74762022
"WOODS AT PARKSIDE,THE",COLUMBUS,OH,-82.88184334,40.0271427
DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,-84.16802733,39.77424249
VIBRA HOSPITAL OF MAHONING VALLEY,BOARDMAN,OH,-80.63297231,41.0051693
HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,DAYTON,OH,-84.19939762,39.74773987
CHG CORNERSTONE HOSPITAL OF OKLAHOMA,SHAWNEE,OK,-96.92709569,35.29726161
MARY HURLEY HOSPITAL,COALGATE,OK,-96.2237315,34.53934684
TRINITY HOSPITALS,MINOT,ND,-101.2940853,48.23222596
LIFEBRITE COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,-80.23107621,36.418068
PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,HOUSTON,TX,-95.44068702,30.0142879
MCCALLEN MEDICAL CENTER,MCALLEN,TX,-98.22573011,26.18699237
PRAIRIE SAINT JOHN'S,FARGO,ND,-96.78500526,46.86919521
FAITH COMMUNITY HOSPITAL,JACKSBORO,TX,-98.16693865,33.23066769
COVENANT MEDICAL CENTER - LAKESIDE,LUBBOCK,TX,-101.9019483,33.57339136
WOODLANDS SPECIALTY HOSPITAL PLLC,THE WOODLANDS,TX,-95.44302258,30.13090069
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,CORPUS CHRISTI,TX,-97.39474791,27.77809368
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,CORPUS CHRISTI,TX,-97.63542317,27.85491733
REAGAN MEMORIAL HOSPITAL,BIG LAKE,TX,-101.4610176,31.20401254
BAYLOR EMERGENCY MEDICAL CENTER,ROCKWALL,TX,-96.44469769,32.9140952
BAYLOR EMERGENCY MEDICAL CENTER,KELLER,TX,-97.2547307,32.92816374
BAYLOR EMERGENCY MEDICAL CENTER,BURLESON,TX,-97.32118572,32.57542408
BAYLOR EMERGENCY MEDICAL CENTER,MANSFIELD,TX,-97.14487705,32.59672241
TRINITY HOSPITAL - SAINT JOSEPHS,MINOT,ND,-101.2872043,48.23216459
BAYLOR EMERGENCY MEDICAL CENTER,COLLEYVILLE,TX,-97.1511153,32.88879527
MEDICAL CENTER OF ALLIANCE,FORT WORTH,TX,-97.31392872,32.90029252
TEXAS HEALTH HOSPITAL CLEARFORK,FORT WORTH,TX,-97.40231314,32.70806442
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,SAN ANGELO,TX,-100.4024438,31.4717117
DETAR NORTH,VICTORIA,TX,-97.01968631,28.85434036
CENTRA LYNCHBURG GENERAL HOSPITAL,LYNCHBURG,VA,-79.17157799,37.41701527
SHELTERING ARMS REHABILITATION HOSPITAL,MECHANICSVILLE,VA,-77.38713225,37.62767133
WINCHESTER REHABILITATION CENTER,WINCHESTER,VA,-78.17239498,39.18315586
SENTARA RMH MEDICAL CENTER,HARRISONBURG,VA,-78.85547297,38.40478676
JOHNSTON MEMORIAL HOSPITAL,ABINGDON,VA,-81.91212146,36.72291339
VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,WOODSTOCK,VA,-78.51268401,38.8702953
NAVOS,SEATTLE,WA,-122.3661718,47.53407121
WISE REGIONAL HEALTH SYSTEM,DECATUR,TX,-97.5937157,33.21710703
