Name,City,State,Longitude,Latitude
Drewry-Mitchell-Moorer House,Eufaula,AL,-85.14603599477633,31.900191419213005
Kendall Manor,Eufaula,AL,-85.15197524087742,31.89277763193896
Petty-Roberts-Beatty House,Clayton,AL,-85.45109602190877,31.884295292350664
Shorter Mansion,Eufaula,AL,-85.14627584594946,31.8967276
"Sparks, Gov. Chauncy, House",Eufaula,AL,-85.14291087670556,31.892874977815712
"Tavern, The",Eufaula,AL,-85.13522081776294,31.89262142654772
Anniston Transfer Company,Anniston,AL,-85.82833289795919,33.65599963265306
Bank of Anniston,Anniston,AL,-85.829673625,33.657243625
Caldwell Building,Anniston,AL,-85.829674,33.65722
Crowan Cottage,Anniston,AL,-85.821719,33.6633547505698
First Presbyterian Church,Jacksonville,AL,-85.76299095485312,33.81422340270966
"Glover, Henry Burt, House",Anniston,AL,-85.82490159183673,33.6587648367347
Grace Episcopal Church,Anniston,AL,-85.82537717623111,33.65776645
"Huger, Richard P., House",Anniston,AL,-85.828388,33.66913
Kilby House,Anniston,AL,-85.82026223775652,33.6606789
Kress Building,Anniston,AL,-85.829869625,33.6585696875
Lyric Theatre,Anniston,AL,-85.829887875,33.661195125
Montgomery Ward-Alabama Power Company Building,Anniston,AL,-85.829685,33.659858
Noble-McCaa-Butler House,Anniston,AL,-85.82016624489796,33.65804493877551
Nonnenmacher House,Anniston,AL,-85.831290842087,33.661279223269695
Oak Tree Cottage,Anniston,AL,-85.81913075609756,33.6550562195122
Parker Memorial Baptist Church,Anniston,AL,-85.82579928972625,33.66050250000001
Parker-Reynolds House,Anniston,AL,-85.823981,33.65174
Saint Paul's Methodist Episcopal Church,Anniston,AL,-85.82493389795918,33.661494510204086
Security Bank Building,Anniston,AL,-85.82986818750001,33.657399187500005
"Smith, Lansing T., House",Anniston,AL,-85.81972570624293,33.65045591385309
"Snow, Dudley, House",Oxford,AL,-85.82348297170172,33.61536313074046
Union Depot and Freight House,Anniston,AL,-85.8337924610659,33.661700361315994
Wikle Drug Company,Anniston,AL,-85.82987006249999,33.6572810625
Alston-Cobb House,Grove Hill,AL,-87.77682423605366,31.70993471851138
Rawls Hotel,Enterprise,AL,-85.85109483589832,31.310800603077986
"Florence, Alabama Music Enterprises (FAME) Recording Studios",Muscle Shoals,AL,-87.66694345918367,34.74472820408163
"Holman, J. D., House",Ozark,AL,-85.63530795893486,31.45966888033734
Dallas County Courthouse,Selma,AL,-87.0259166091862,32.405320700000004
"Morgan, John Tyler, House",Selma,AL,-87.02722585291998,32.41335949746125
St. Paul's Episcopal Church,Selma,AL,-87.02553926209109,32.42343116486638
Sturdivant Hall,Selma,AL,-87.0289003,32.4129686
Fort Payne Opera House,Fort Payne,AL,-85.71933381992267,34.44487805
Ellerslie,Millbrook,AL,-86.37573744789519,32.470484981002976
First United Methodist Church,Wetumpka,AL,-86.21086488891926,32.540453804109156
