id,start_name,destination_name,start_coordinates,destination_coordinates,plan_length_1,plan_length_2,plan_length_3,average_plan_length,plan_1,plan_2,plan_3
0,"WESTWOOD/PEMBROKE HEALTH SYSTEM WESTWOOD (WESTWOOD, MA)","Hazen-Spiller House (Haverhill, MA)","[-71.22407723, 42.20650415]","[-71.06341724278067, 42.77053335]",15,38,14,22.333333333333332,"['Drive north on Abbey Road.', 'Turn left onto Clapboardtree Street.', 'Turn right to stay on Clapboardtree Street.', 'Bear right onto Pond Street.', 'Bear right onto High Street/MA 109. Continue on High Street.', 'Take the I 95 North ramp on the right toward Peabody/Portsmouth New Hampshire.', 'Take exit 50A-B on the right onto US 3 North toward Lowell/Nashua New Hampshire.', 'Keep right to take exit 50A onto US 3 North toward Lowell/Nashua New Hampshire.', 'Keep right to take exit 80-81A onto Lowell Connector toward Lawrence.', 'Take exit 81A on the right onto I 495 North toward Lawrence.', 'Take exit 107 on the right onto MA 110/MA 113 toward River Street.', 'Bear right onto River Street/MA 110/MA 113. Continue on MA 113.', 'Keep left to take Water Street/MA 113.', 'Bear left onto Groveland Street.', 'Your destination is on the left.']","['Drive north on Abbey Road.', 'Turn left onto Clapboardtree Street.', 'Turn right to stay on Clapboardtree Street.', 'Bear right onto Pond Street.', 'Bear right onto High Street/MA 109.', 'Turn left onto Veterans of Foreign Wars Parkway.', 'Turn left onto Independence Drive.', 'Enter Franklin Park Circle and take the 2nd exit onto Grove Street.', 'Bear right onto Newton Street.', 'Bear left onto Goddard Avenue.', 'Turn left onto Chestnut Street.', 'Enter Riverdale Parkway Rotary and take the 2nd exit onto Chestnut Street.', 'Turn right onto High Street.', 'Turn right to stay on High Street.', 'Turn right onto Station Street.', 'Turn right onto Longwood Avenue.', 'Turn left onto Chapel Street.', 'Turn left onto Carlton Street.', 'Turn right onto MA 2/Boston University Bridge. Continue on MA 2.', 'Enter Reid Rotary and take the 2nd exit onto Brookline Street.', 'Turn left onto Massachusetts Avenue/MA 2A.', 'Turn right onto Prospect Street.', 'Bear right onto Washington Street.', 'Bear right to stay on Washington Street.', 'Bear left onto McGrath Highway.', 'Enter Roosevelt Circle and take the 2nd exit onto Fellsway West/MA 28.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Take exit 25 on the right onto MA 28 North toward Stoneham/Melrose.', 'Take the exit on the right after 16472 meters or 847-1035 seconds.', 'Bear right onto Andover Bypass/MA 125. Continue on Andover Bypass.', 'Bear left onto 114/125/Turnpike Street. Continue on Turnpike Street.', 'Turn right onto Andover Street/MA 125.', 'Turn left onto South Main Street/MA 125 North.', 'Turn right onto South Main Street/MA 125. Continue on MA 125.', 'Turn right onto Water Street/MA 113.', 'Keep right to stay on Water Street.', 'Bear left onto Groveland Street.', 'Your destination is on the left.']","['Drive north on Abbey Road.', 'Turn right onto Clapboardtree Street.', 'Turn left onto Boston-Providence Turnpike/US 1. Continue on US 1.', 'Take the I 95 South ramp on the right toward Canton/Providence Rhode Island.', 'Keep left to take exit 26 onto I 93 North/US 1 toward Boston.', 'Keep left to stay on US 1 toward Boston.', 'Keep left to take exit 19 to stay on US 1 toward Tobin Bridge/Revere.', 'Keep left to stay on US 1.', 'Keep left to take Newbury Street/US 1.', 'Keep right to stay on US 1.', 'Turn left onto High Street/MA 97.', 'Turn right onto Main Street/MA 97. Continue on MA 97.', 'Turn left onto West Main Street/MA 97.', 'Your destination is on the right.']"
1,"MEMORIAL HOSPITAL WEST (PEMBROKE PINES, FL)","SELECT SPECIALTY HOSPITAL-MIAMI (MIAMI, FL)","[-80.31080036, 26.01301541]","[-80.21063654, 25.77684554]",22,21,14,19.0,"['Drive northwest.', 'Turn left after 19 meters or 6-8 seconds.', 'Turn right after 30 meters or 14-17 seconds.', 'Turn left after 16 meters or 9-11 seconds.', 'Turn right after 136 meters or 46-56 seconds.', 'Turn right after 129 meters or 45-55 seconds.', 'Turn left onto FL 823/North Flamingo Road. Continue on FL 823.', 'Keep left to stay on FL 823.', 'Take the ramp on the right toward Florida’s Turnpike Toll North/Orlando.', ""Keep left to take Florida's Turnpike toward Stadium/Miami/Florida's Turnpike Toll South."", 'Keep right to take I 95/US 441.', 'Keep left to take I 95/US 441.', 'Keep left to take I 95 South.', 'Keep left to stay on I 95 South toward Downtown.', 'Take exit 3B on the right toward Northwest 8th Street/Port of Miami.', 'Turn right onto Northwest 6th Street.', 'Turn left onto Northwest 7th Avenue/US 441.', 'Bear right onto Northwest 4th Street.', 'Turn left onto Northwest 10th Avenue.', 'Turn left onto Northwest 3rd Street.', 'Turn left after 87 meters or 11-14 seconds.', 'You have arrived at your destination.']","['Drive northwest.', 'Turn left after 19 meters or 6-8 seconds.', 'Turn right after 30 meters or 14-17 seconds.', 'Turn left after 16 meters or 9-11 seconds.', 'Turn right after 136 meters or 46-56 seconds.', 'Turn right after 129 meters or 45-55 seconds.', 'Turn left onto FL 823/North Flamingo Road. Continue on FL 823.', 'Keep left to stay on FL 823.', 'Bear left onto US 27/Okeechobee Road.', 'Turn right after 6477 meters or 355-433 seconds.', 'Turn left after 23 meters or 9-10 seconds.', 'Turn right onto Northwest 26th Avenue.', 'Turn left onto Northwest North River Drive.', 'Turn right to stay on Northwest North River Drive.', 'Bear right to stay on Northwest North River Drive.', 'Turn right onto Northwest 12th Avenue/FL 933.', 'Turn left onto Northwest 5th Street.', 'Turn right onto Northwest 11th Avenue.', 'Turn left onto Northwest 3rd Street.', 'Turn left after 240 meters or 28-34 seconds.', 'You have arrived at your destination.']","['Drive northwest.', 'Turn left after 19 meters or 6-8 seconds.', 'Turn right after 30 meters or 14-17 seconds.', 'Turn left after 16 meters or 9-11 seconds.', 'Turn right after 136 meters or 46-56 seconds.', 'Turn right after 129 meters or 45-55 seconds.', 'Turn left onto FL 823/North Flamingo Road. Continue on FL 823.', 'Keep left to stay on FL 823.', 'Bear left onto US 27/Okeechobee Road.', 'Turn left onto US 27/Northwest 36th Street.', 'Turn right onto Northwest 12th Avenue/FL 933.', 'Turn left onto Northwest 3rd Street.', 'Turn left after 410 meters or 47-57 seconds.', 'You have arrived at your destination.']"
2,"CLARITY CHILD GUIDANCE CENTER (SAN ANTONIO, TX)","ROUND ROCK MEDICAL CENTER (ROUND ROCK, TX)","[-98.57619951, 29.52010675]","[-97.7136084, 30.51110777]",31,36,22,29.666666666666668,"['Drive east.', 'Turn left onto Tom Slick.', 'Turn right onto Hamilton Wolfe Road.', 'Turn right onto Fredericksburg Road/Spur 345.', 'Turn left onto Wurzbach Road.', 'Keep left to take PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Turn left onto Interstate 35 North.', 'Take the I 35 North ramp.', 'Take exit 231 on the right onto US 290 West/TX 71 West toward Johnson City.', 'Keep left to take US 290 West/TX 71 West toward Johnson City.', 'Keep right to take Loop 360/South Capital of Texas Highway toward Loop 360/Capital of Texas Highway.', 'Turn right onto South Mopac Service Road.', 'Take the Loop 1 North ramp.', 'Keep left to take Express 1 Toll.', 'Keep left to stay on Express 1 Toll.', 'Keep left to stay on Express 1 Toll.', 'Keep left to take TX 45 Toll West.', ""Keep right toward O'Connor Drive."", 'Continue on State Highway 45 Frontage Road.', ""Turn right onto O'Connor Drive."", 'Turn right onto RM 620.', 'Turn left onto Oakwood Boulevard.', 'Turn left after 384 meters or 23-28 seconds.', 'Turn right after 199 meters or 27-33 seconds.', 'Your destination is on the left.']","['Drive east.', 'Turn left onto Tom Slick.', 'Turn right onto Hamilton Wolfe Road.', 'Turn right onto Fredericksburg Road/Spur 345.', 'Turn left onto Wurzbach Road.', 'Keep left to take PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Bear right toward US 281.', 'Bear left toward PA 1502 East.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep left to stay on PA 1502/Wurzbach Parkway.', 'Keep right toward Thousand Oaks Drive.', 'Continue toward Thousand Oaks Drive.', 'Turn right onto Thousand Oaks Drive.', 'Turn left onto Interstate 35 North.', 'Take the I 35 North ramp.', 'Keep right to take I 35 North/Purple Heart Trail.', 'Take exit 240B on the right onto US 183 North toward Lampasas.', 'Take the exit on the right toward Ohlen Road/Payton Gin Road.', 'Turn right onto Burnet Road/FM 1325.', 'Keep right to stay on FM 1325.', 'Take the Loop 1 North ramp.', 'Take the exit on the right toward Scofield Ridge Parkway.', 'Take the TX 1 Toll North ramp.', 'Keep left to take TX 45 Toll West.', ""Keep right toward O'Connor Drive."", 'Continue on State Highway 45 Frontage Road.', ""Turn right onto O'Connor Drive."", 'Turn right onto RM 620.', 'Turn left onto Hospital Entrance.', 'Turn right after 81 meters or 15-18 seconds.', 'Turn left after 17 meters or 7-8 seconds.', 'Turn left after 101 meters or 15-18 seconds.', 'Your destination is on the left.']","['Drive west.', 'Turn left onto Sid Katz Drive.', 'Turn right onto Wurzbach Road.', 'Turn left onto Bandera Road/TX 16.', 'Turn right onto Northwest Loop 410/TX 16.', 'Take the I 410 South/TX 16 South ramp.', 'Take exit 33 on the right onto I 10/US 90/TX 130 toward Houston.', 'Keep right to stay on TX 130 North toward Houston.', 'Keep left to take I 10 East/US 90 East.', 'Keep right to take exit 614 onto TX 130 Toll North toward Austin/Waco.', 'Keep left to stay on TX 130 Toll/Pickle Parkway.', 'Keep left to take TX 45 Toll/TX 130 Toll/Pickle Parkway.', 'Take exit 428B on the right onto Toll 45 West toward Round Rock.', 'Take the RM 620 exit on the right.', 'Make a sharp right onto RM 620.', 'Turn left after 5197 meters or 226-276 seconds.', 'Turn left after 141 meters or 9-11 seconds.', 'Turn left after 16 meters or 3-4 seconds.', 'Turn left after 285 meters or 47-57 seconds.', 'Turn left after 375 meters or 56-68 seconds.', 'Turn right after 187 meters or 26-32 seconds.', 'Your destination is on the left.']"
3,"Kissimmee Gateway Airport (ORLANDO, FL)","INDIAN RIVER MEDICAL CENTER (VERO BEACH, FL)","[-81.4371032715, 28.2898006439]","[-80.39516331, 27.65842311]",16,17,7,13.333333333333334,"['Drive east on Patrick Street.', 'Turn left onto US 17/US 92/John Young Parkway.', 'Turn right onto US 17/US 92/US 192/West Vine Street. Continue on US 192.', 'Turn left to take the ramp toward Miami.', ""Keep right to take Florida's Turnpike South toward Miami."", 'Take exit 193 on the right onto US 441/FL 60 toward Yeehaw Junction.', 'Turn left onto FL 60.', 'Turn left onto 66th Avenue/CR 615.', 'Turn right onto 41st Street/CR 630.', 'Turn right onto Old Dixie Highway/CR 5A.', 'Turn right onto US 1.', 'Turn left onto 37th Street.', 'Turn right onto Dr. Hugh McCrystal Drive.', 'Turn left after 207 meters or 22-26 seconds.', 'Keep left at the fork.', 'Your destination is on the right.']","['Drive east on Patrick Street.', 'Turn right onto West Bryan Street.', 'Turn right onto South Stewart Avenue.', 'Turn left onto Lakeview Drive.', 'Enter the roundabout and take the 2nd exit onto East Monument Avenue.', 'Turn left onto Lakeshore Boulevard.', 'Turn right onto Neptune Road.', 'Turn right onto US 192/US 441/13th Street. Continue on US 192.', 'Take the I 95 South ramp on the right toward Miami.', 'Take exit 173 on the right onto Malabar Road toward Malabar.', 'Keep left to take Malabar Road toward Malabar.', 'Turn right onto US 1.', 'Turn left onto North Indian River Drive.', 'Turn left onto US 1.', 'Turn left onto 36th Street.', 'Keep left at the fork.', 'Your destination is on the right.']","['Drive east on Patrick Street.', 'Turn left onto US 17/US 92/John Young Parkway.', 'Turn right onto US 17/US 92/US 192/West Vine Street. Continue on US 192.', 'Turn right onto South Harbor City Boulevard/US 1. Continue on US 1.', 'Turn left onto 36th Street.', 'Keep left at the fork.', 'Your destination is on the right.']"
4,"ST. HELENA HOSPITAL CENTER FOR BEHAVIORAL HEALTH (VALLEJO, CA)","Charles M. Schulz Sonoma County Airport (SANTA ROSA, CA)","[-122.2488937, 38.11790375]","[-122.8130035, 38.50899887]",10,21,8,13.0,"['Drive north on Broadway Street.', 'Turn left onto Redwood Street.', 'Turn right onto Sacramento Street.', 'Turn left to take the CA 37 West ramp.', 'Turn right onto Lakeville Highway.', 'Turn right to take the US 101 North ramp.', 'Take exit 495B on the right toward Airport Boulevard/Fulton Road.', 'Turn left onto Airport Boulevard.', 'Turn right after 2804 meters or 159-195 seconds.', 'You have arrived at your destination.']","['Drive north on Broadway Street.', 'Turn left onto Valle Vista Avenue.', 'Turn right after 973 meters or 84-102 seconds.', 'Turn left after 15 meters or 7-8 seconds.', 'Turn left after 36 meters or 7-8 seconds.', 'Turn right onto Sacramento Street.', 'Turn left to take the CA 37 West ramp.', 'Turn right onto Lakeville Highway.', 'Turn right onto Frates Road.', 'Turn left onto Old Adobe Road.', 'Turn right onto Petaluma Hill Road.', 'Turn right onto Santa Rosa Avenue.', 'Turn left onto 3rd Street.', 'Turn right onto Morgan Street.', 'Take the US 101 North ramp.', 'Take exit 490 on the right toward College Avenue.', 'Take the US 101 North ramp on the right.', 'Take exit 495B on the right toward Airport Boulevard/Fulton Road.', 'Turn left onto Airport Boulevard.', 'Turn right after 2804 meters or 159-195 seconds.', 'You have arrived at your destination.']","['Drive north on Broadway Street.', 'Turn left onto CA 37.', 'Turn right onto Lakeville Highway.', 'Turn right to take the US 101 North ramp.', 'Take exit 495B on the right toward Airport Boulevard/Fulton Road.', 'Turn left onto Airport Boulevard.', 'Turn right after 2804 meters or 159-195 seconds.', 'You have arrived at your destination.']"
5,"Old State Capitol (Jackson, MS)","COVINGTON COUNTY HOSPITAL (COLLINS, MS)","[-90.1799353, 32.2991503]","[-89.55474347, 31.63722205]",10,26,9,15.0,"['Drive south on North State Street/US 51. Continue on US 51.', 'Turn left onto East Pascagoula Street.', 'Stay straight to take the ramp.', 'Keep right to take I 55 South.', 'Keep right to take exit 94 onto I 20 East/US 49 South toward Hattiesburg.', 'Keep right to stay on US 49 toward Hattiesburg.', 'Take the exit.', 'Turn left onto South 4th Street.', 'Turn right onto Komo Street.', 'Your destination is on the right.']","['Drive south on North State Street/US 51. Continue on US 51.', 'Turn left onto East Pascagoula Street.', 'Bear right after 7 meters or 3-4 seconds.', 'Turn right onto Commerce Street.', 'Turn left onto East South Street.', 'Turn right onto South Jefferson Street.', 'Turn left onto East Silas Brown Street.', 'Bear right onto Old Highway 49 Extension.', 'Turn right onto Rose Street.', 'Turn left onto Old U.S. Highway 49.', 'Turn right onto US 49/Highway 49 South. Continue on US 49.', 'Turn right onto MS 149.', 'Turn left onto New Galilee Road/MS 149. Continue on MS 149.', 'Turn right to stay on MS 149.', 'Turn left onto US 49.', 'Bear left after 27392 meters or 854-1044 seconds.', 'Turn left onto Selma Road.', 'Turn right onto North Fir Avenue.', 'Turn right onto North 1st Street.', 'Turn left onto North Gardenia Avenue.', 'Turn right onto Main Street/MS 184.', 'Turn left onto South Holly Avenue.', 'Turn right onto South 4th Street.', 'Turn left onto Ivy Avenue.', 'Turn right onto South 6th Street.', 'Your destination is on the left.']","['Drive south on North State Street/US 51.', 'Turn left to take the I 20 ramp.', 'Keep right to stay on I 20/US 49 toward Hattiesburg.', 'Keep right to take exit 47A to stay on US 49 toward Hattiesburg.', 'Keep right to stay on US 49 toward Hattiesburg.', 'Take the exit.', 'Turn left onto South 4th Street.', 'Turn right onto Komo Street.', 'Your destination is on the right.']"
6,"Aborn, John, House (Cambridge, MA)","Smith House (Ipswich, MA)","[-71.1203090623144, 42.391409045349945]","[-70.79931631192721, 42.6682002]",21,50,12,27.666666666666668,"['Drive southeast on Orchard Street.', 'Turn right onto Beech Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto Alewife Brook Parkway/MA 16.', 'Enter the roundabout and take the 2nd exit onto Mystic Valley Parkway/MA 16.', 'Bear left to stay on Mystic Valley Parkway/MA 16.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Keep left to take I 93 North toward Concord New Hampshire.', 'Take exit 28A on the right onto I 95 North toward Peabody.', 'Keep right to stay on I 95 North toward Portsmouth New Hampshire.', 'Take exit 70 on the right onto US 1 toward Topsfield.', 'Keep right to stay on US 1.', 'Turn right onto Ipswich Road.', 'Bear right onto Topsfield Road.', 'Bear right onto Market Street.', 'Keep right to stay on Market Street.', 'Turn right onto South Main Street/MA 1A/MA 133.', 'Keep right to stay on MA 1A/MA 133.', 'Turn left onto Argilla Road.', 'Turn left after 3571 meters or 233-285 seconds.', 'Your destination is on the left.']","['Drive southeast on Orchard Street.', 'Turn left onto Beech Street.', 'Bear right after 67 meters or 6-8 seconds.', 'Bear left onto Willow Avenue.', 'Turn left onto Morrison Avenue.', 'Turn right onto Liberty Road.', 'Turn left onto Appleton Street.', 'Turn right onto Liberty Avenue.', 'Turn left onto Broadway.', 'Enter Powder House Square and take the 2nd exit onto College Avenue.', 'Turn right to stay on College Avenue.', 'Turn right onto George Street.', 'Turn left onto Main Street.', 'Turn left onto Main Street/MA 38. Continue on Main Street.', 'Turn right onto Riverside Avenue/MA 60.', 'Keep left to take City Hall Mall/MA 60.', 'Turn left to stay on City Hall Mall/MA 60.', 'Turn right onto Salem Street/MA 60.', 'Enter Salem Street Circle and take the 2nd exit onto Fountain Street Connector.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Take exit 24 on the right onto MA 28 toward Fellsway West/Winchester.', 'Enter Roosevelt Circle and take the 2nd exit onto Fellsway West/MA 28.', 'Turn right onto Elm Street.', 'Enter Middlesex Rotary and take the 2nd exit onto Woodland Road.', 'Turn right onto Pond Street.', 'Turn left onto Lynn Fells Parkway.', 'Take the US 1 exit on the right.', 'Take the MA 129 East exit on the right toward Lynn/Swampscott.', 'Take the MA 129 East ramp toward Lynn/Swampscott.', 'Keep right to take MA 129 East toward Lynn/Swampscott.', 'Continue on US 1.', 'Keep right to take I 95 North toward Portsmouth New Hampshire.', 'Take exit 67A on the right onto MA 114 East toward Peabody.', 'Turn left onto Garden Street.', 'Turn left onto Prince Street.', 'Turn left onto Centre Street.', 'Turn right onto Hobart Street.', 'Turn left onto Maple Street/MA 35.', 'Turn right onto Locust Street/MA 35.', 'Turn right onto Wenham Street.', 'Bear left onto Monument Street.', 'Turn left onto Main Street/MA 1A. Continue on MA 1A.', 'Turn right onto Gardner Street.', 'Turn left onto Candlewood Road.', 'Turn right onto Essex Road/MA 133.', 'Turn left onto Northgate Road.', 'Bear right to stay on Northgate Road.', 'Bear right onto Argilla Road.', 'Turn left after 702 meters or 46-56 seconds.', 'Your destination is on the left.']","['Drive southeast on Orchard Street.', 'Turn right onto Beech Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto US 3/MA 2A/MA 60/Mystic Street. Continue on US 3.', 'Take the I 95 North/MA 128 North ramp on the right toward Peabody/Portsmouth New Hampshire.', 'Keep left to take exit 64 to stay on MA 128 North/Yankee Division Highway toward Gloucester.', 'Keep left to stay on MA 128 North/Yankee Division Highway.', 'Take exit 45B on the right onto MA 1A North toward Hamilton/Beverly Regional Airport.', 'Bear right onto MA 1A/Dodge Street. Continue on MA 1A.', 'Turn right onto Argilla Road.', 'Turn left after 3571 meters or 238-290 seconds.', 'Your destination is on the left.']"
7,"Hotel Russel Erskine (Huntsville, AL)","Donegan Block (Huntsville, AL)","[-86.58682271334548, 34.731025971945854]","[-86.58540261089607, 34.73062871720685]",6,6,4,5.333333333333333,"['Drive northeast on Clinton Avenue West.', 'Turn right onto Jefferson Street South.', 'Turn left onto South Side Square.', 'Turn left onto East Side Square.', 'Turn left onto North Side Square.', 'You have arrived at your destination.']","['Drive northeast on Clinton Avenue West.', 'Turn right after 195 meters or 20-24 seconds.', 'Turn left after 19 meters or 7-9 seconds.', 'Turn right onto Greene Street Southeast.', 'Turn right onto Randolph Avenue Southeast.', 'You have arrived at your destination.']","['Drive northeast on Clinton Avenue West.', 'Turn right onto Greene Street Southeast.', 'Turn right onto Randolph Avenue Southeast.', 'You have arrived at your destination.']"
8,"Beverly Regional Airport (BEVERLY / DANVERS, MA)","CLINTON HOSPITAL (CLINTON, MA)","[-70.916496, 42.584202]","[-71.6929, 42.4275]",20,26,18,21.333333333333332,"['Drive southeast.', 'Turn left onto L P Henderson Road.', 'Turn right onto Cabot Street/MA 97.', 'Turn right onto Conant Street.', 'Turn left to take the MA 128 South ramp.', 'Take exit 50B-A on the right onto US 3 North toward Lowell.', 'Keep left to stay on US 3 toward Lowell.', 'Keep right to take exit 50A to stay on US 3 toward Lowell.', 'Keep left to stay on US 3.', 'Take exit 81B-C on the right onto I 495 South toward Marlboro.', 'Keep right to take exit 81B onto I 495 South toward Marlboro.', 'Take exit 81B onto I 495 South toward Marlboro.', 'Keep left to take I 495 South toward Marlboro.', 'Take exit 70 on the right onto MA 117 toward Bolton.', 'Turn left onto Main Street/MA 117.', 'Turn left onto Wattaquadock Hill Road.', 'Bear left onto Acre Road.', 'Turn right onto Highland Street.', 'Turn left after 655 meters or 56-69 seconds.', 'Your destination is on the left.']","['Drive southeast.', 'Turn left onto L P Henderson Road.', 'Turn right onto Sam Fonzo Drive.', 'Turn left onto Cherry Hill Drive.', 'Turn right onto Conant Street.', 'Turn left to take the MA 128 South ramp.', 'Take exit 60 on the right toward Salem Street/Wakefield.', 'Turn left onto Pleasure Island Road.', 'Turn right onto Salem Street.', 'Turn left to stay on Salem Street.', 'Bear right onto Church Street.', 'Bear right onto Prospect Street.', 'Bear right onto Hopkins Street.', 'Turn left onto Main Street/MA 28.', 'Take the I 95 South ramp on the right toward Waltham/Providence Rhode Island.', 'Take exit 45B on the right onto MA 2 West toward Fitchburg.', 'Keep left to stay on MA 2.', 'Bear left onto Main Street/MA 62. Continue on MA 62.', 'Turn right onto Waltham Street/MA 27/MA 62.', 'Turn right onto Great Road/MA 62/MA 117. Continue on MA 117.', 'Turn left onto Wattaquadock Hill Road.', 'Bear left onto Acre Road.', 'Turn right onto Greeley Street.', 'Turn right onto Highland Street.', 'Turn left after 243 meters or 28-35 seconds.', 'Your destination is on the left.']","['Drive southeast.', 'Turn left onto L P Henderson Road.', 'Turn left onto Cabot Street/MA 97. Continue on MA 97.', 'Turn right onto Main Street/MA 97. Continue on MA 97.', 'Turn left onto West Main Street/MA 97. Continue on MA 97.', 'Bear left onto Lincoln Avenue/MA 97/MA 113. Continue on MA 113.', 'Bear left onto Water Street/MA 113. Continue on MA 113.', 'Keep left to take MA 110/MA 113.', 'Take the I 495 South ramp on the right toward Lawrence.', 'Take exit 67 on the right onto MA 62 toward Berlin/Hudson.', 'Turn left onto Central Street/MA 62. Continue on MA 62.', 'Turn right onto Boylston Street/MA 62/MA 70. Continue on MA 62/MA 70.', 'Turn left onto Union Street/MA 62/MA 70.', 'Turn right onto Main Street/MA 62/MA 70/MA 110.', 'Turn left onto Sterling Street/MA 62.', 'Turn right onto Highland Street.', 'Turn left after 655 meters or 56-69 seconds.', 'Your destination is on the left.']"
9,"MBS International Airport (FREELAND, MI)","Bennett, Henry, House (Ann Arbor, MI)","[-84.082275, 43.531913]","[-83.74438650105763, 42.2789984]",16,32,15,21.0,"['Drive north on Flight Service Drive.', 'Turn right onto Air Terminal Drive.', 'Turn right onto Garfield Road.', 'Turn right onto West Salzburg Road.', 'Turn left onto Nine Mile Road.', 'Turn right to take the US 10 East ramp toward Bay City.', 'Take exit 140A on the right onto I 75 South/US 23 South toward Saginaw.', 'Keep left to stay on I 75 South/US 23 South.', 'Keep right to stay on US 23 South toward Ann Arbor.', 'Keep right to take exit 45 onto M 14 West toward Ann Arbor.', 'Take exit 3 on the right onto US 23 BUS toward Downtown Ann Arbor.', 'Turn left onto East Huron Street/I 94 BL/US 23 BUS.', 'Turn right onto South Fifth Avenue.', 'Turn left onto East Liberty Street.', 'Turn right after 94 meters or 11-14 seconds.', 'You have arrived at your destination.']","['Drive south on Flight Service Drive.', 'Turn right to stay on Flight Service Drive.', 'Turn left onto Air Terminal Drive.', 'Turn left onto Garfield Road.', 'Turn left onto West Freeland Road.', 'Bear right onto Garfield Road.', 'Turn left onto M 47/South Main Street. Continue on M 47.', 'Keep left to take M 47/Midland Road.', 'Turn right onto Wieneke Road.', 'Turn left onto Brockway Road.', 'Bear left onto M 46/Gratiot Avenue.', 'Bear right onto M 46 East/Stephens Street. Continue on M 46 East.', 'Bear right onto M 46 West/Rust Avenue Bridge.', 'Turn right onto South Washington Avenue/M 13.', 'Turn left onto Williamson Street.', 'Turn right onto Dixie Highway.', 'Take the I 75 South ramp on the right.', 'Keep left to stay on I 75 South/US 23 South.', 'Keep right to stay on US 23 South toward Ann Arbor.', 'Take exit 75 on the right onto Center Road.', 'Turn right onto Center Road.', 'Turn left onto Old US-23.', 'Enter the roundabout and take the 2nd exit onto Whitmore Lake Road.', 'Enter the roundabout and take the 2nd exit.', 'Keep right to take exit 45 onto M 14 West toward Ann Arbor.', 'Take exit 3 on the right onto US 23 BUS toward Downtown Ann Arbor.', 'Turn left onto Depot Street.', 'Turn right onto North Fifth Avenue.', 'Keep right to stay on North Fifth Avenue.', 'Turn left onto East Liberty Street.', 'Turn right after 94 meters or 11-14 seconds.', 'You have arrived at your destination.']","['Drive north on Flight Service Drive.', 'Turn right onto Air Terminal Drive.', 'Turn right onto Garfield Road.', 'Turn right after 7068 meters or 295-360 seconds.', 'Take the US 10 East ramp toward Bay City.', 'Take exit 140A on the right onto I 75 South/US 23 South toward Saginaw.', 'Keep left to stay on I 75 South/US 23 South.', 'Keep right to stay on US 23 South toward Ann Arbor.', 'Keep right to take exit 45 onto M 14 West toward Ann Arbor.', 'Take exit 3 on the right onto US 23 BUS toward Downtown Ann Arbor.', 'Turn left onto East Huron Street/I 94 BL/US 23 BUS.', 'Turn right onto South Fifth Avenue.', 'Turn left onto East Liberty Street.', 'Turn right after 94 meters or 11-14 seconds.', 'You have arrived at your destination.']"
