id,Domain,Goal,Plan
0,"[[-121.401001, 38.667599], [-121.28971446938776, 37.953891530612246]]","McClellan Airfield (SACRAMENTO, CA) to Hotel Stockton (Stockton, CA)","[['Drive west.', 'Turn right after 582 meters or 76-92 seconds.', 'Turn left onto Patrol Road.', 'Turn left after 732 meters or 71-87 seconds.', 'Turn left onto Patrol Road.', 'Turn right onto Ascot Avenue.', 'Turn left onto Raley Boulevard.', 'Take the I 80 West ramp on the right toward San Francisco.', 'Take exit 86 on the right onto I 5 toward Los Angeles.', 'Keep left to take I 5 South toward Los Angeles.', 'Keep left to take I 5 South/West Side Freeway.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 582 meters or 76-92 seconds.', 'Turn left onto Patrol Road.', 'Turn left after 732 meters or 71-87 seconds.', 'Turn left onto Patrol Road.', 'Turn right onto Ascot Avenue.', 'Turn left onto Raley Boulevard.', 'Turn left onto Bell Avenue.', 'Turn right onto Pinell Street.', 'Turn left onto Grand Avenue.', 'Turn right onto Astoria Street.', 'Turn left onto Pendleton Street.', 'Turn right onto Kenwood Street.', 'Turn left onto Marconi Avenue.', 'Take the I 80 Business West ramp on the right.', 'Keep left to stay on I 80 BUS.', 'Keep left to take Capital City Freeway.', 'Keep left to take CA 99.', 'Take exit 254A on the right onto CA 4.', 'Take exit 66B on the right onto Stanislaus Street toward Downtown Stockton.', 'Keep right to take East Washington Street.', 'Turn right onto South San Joaquin Street.', 'Turn left onto East Weber Avenue.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 582 meters or 76-92 seconds.', 'Turn left onto Patrol Road.', 'Turn left after 732 meters or 71-87 seconds.', 'Turn left onto Patrol Road.', 'Turn right onto Ascot Avenue.', 'Turn left onto Raley Boulevard.', 'Turn left onto Bell Avenue.', 'Turn right onto Pinell Street.', 'Turn left onto South Avenue.', 'Turn right onto Dayton Street.', 'Turn right onto Del Paso Boulevard.', 'Turn left onto Pendleton Street.', 'Turn right onto Kenwood Street.', 'Turn left onto Marconi Avenue.', 'Take the I 80 Business West ramp on the right.', 'Keep left to stay on I 80 BUS.', 'Keep left to take Capital City Freeway.', 'Keep left to take CA 99.', 'Take exit 254A on the right onto CA 4.', 'Take exit 66B on the right onto Stanislaus Street toward Downtown Stockton.', 'Keep right to take East Washington Street.', 'Turn right onto South San Joaquin Street.', 'Turn left onto East Weber Avenue.', 'You have arrived at your destination.']]"
1,"[[-86.44039045, 37.76657014], [-85.64796181454673, 38.26378435]]","BRECKINRIDGE MEMORIAL HOSPITAL (HARDINSBURG, KY) to Ridgeway (Louisville, KY)","[['Drive south.', 'Turn right after 11 meters or 2 seconds.', 'Turn right after 50 meters or 12-15 seconds.', 'Turn left onto State Highway N259.', 'Turn left onto US 60/KY 259. Continue on US 60.', 'Turn left onto US 31W/US 60/Dixie Highway.', 'Take the KY 841 East ramp on the right toward I 265/I 65/Gene Snyder Freeway.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right after 11 meters or 2 seconds.', 'Turn right after 50 meters or 12-15 seconds.', 'Turn left onto State Highway N259.', 'Turn left onto US 60/KY 259. Continue on US 60.', 'Turn left onto Woodlawn Street/KY 2202.', 'Turn left onto KY 79.', 'Turn left to take the I 64 East ramp.', 'Keep right to stay on I 64 East.', 'Keep right to stay on I 64 East toward I 71/Lexington/Cincinnati.', 'Keep left to stay on I 64 East.', 'Take exit 8 on the right toward Grinstead Drive.', 'Keep right to take Grinstead Drive toward Grinstead Drive West.', 'Turn left onto Lexington Road/US 60 Alternate. Continue on Lexington Road.', 'Bear right onto Frankfort Avenue.', 'Turn left onto Saint Matthews Avenue.', 'Turn right onto Westport Road/KY 1447.', 'Turn right onto Massie Avenue.', 'Turn left onto Springwood Lane.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right after 11 meters or 2 seconds.', 'Turn right after 50 meters or 12-15 seconds.', 'Turn left onto State Highway N259.', 'Turn left onto US 60/KY 259. Continue on US 60.', 'Turn left onto Woodlawn Street/KY 2202.', 'Turn right after 10036 meters or 545-666 seconds.', 'Turn left after 70 meters or 12-15 seconds.', 'Turn right onto KY 79/KY 144. Continue on KY 79.', 'Turn left to stay on KY 79.', 'Turn left to take the I 64 East ramp.', 'Keep right to stay on I 64 East.', 'Keep right to stay on I 64 East toward I 71/Lexington/Cincinnati.', 'Keep left to stay on I 64 East.', 'Take exit 8 on the right toward Grinstead Drive.', 'Keep right to take Grinstead Drive toward Grinstead Drive West.', 'Turn left onto Lexington Road/US 60 Alternate. Continue on Lexington Road.', 'Bear right onto Frankfort Avenue.', 'Turn left onto Saint Matthews Avenue.', 'Turn right onto Westport Road/KY 1447.', 'Turn right onto Massie Avenue.', 'Turn left onto Springwood Lane.', 'You have arrived at your destination.']]"
2,"[[-90.07257594727255, 29.95639325], [-90.07819940427008, 29.9558596]]","Saenger Theatre (New Orleans, LA) to Charity Hospital of New Orleans (New Orleans, LA)","[['Drive southwest on North Rampart Street.', 'Turn right onto Canal Street.', 'Turn left onto Elk Place.', 'Turn right onto Tulane Avenue.', 'Turn right onto South Claiborne Avenue.', 'Turn left onto Palmyra Street.', 'Turn left onto South Claiborne Avenue.', 'Turn left onto Tulane Avenue.', 'You have arrived at your destination.'], ['Drive southwest on North Rampart Street.', 'Turn right onto Canal Street.', 'Make a left U-turn to stay on Canal Street.', 'Turn right onto South Claiborne Avenue.', 'Turn left onto Tulane Avenue.', 'You have arrived at your destination.'], ['Drive southwest on North Rampart Street.', 'Turn right onto Canal Street.', 'Turn right onto North Claiborne Avenue.', 'Turn left onto Iberville Street.', 'Turn left onto North Claiborne Avenue.', 'Turn left onto Tulane Avenue.', 'You have arrived at your destination.']]"
3,"[[-74.00448291111701, 40.7135665], [-73.49674757, 40.74387447]]","Surrogate's Court (New York, NY) to ST JOHN'S EPISCOPAL HOSPITAL SOUTH SHORE (BETHPAGE, NY)","[['Drive northeast on Elk Street.', 'Turn left onto Reade Street.', 'Turn right onto Church Street.', 'Bear right to stay on Church Street.', 'Turn right onto Walker Street.', 'Turn left onto Centre Street.', 'Turn right onto Grand Street.', 'Turn left onto Essex Street.', 'Turn right onto Broome Street.', 'Turn left onto Norfolk Street.', 'Turn right onto Delancey Street.', 'Keep left to take I 278 East toward Queens/Bronx.', 'Keep left to stay on Williamsburg Bridge toward Queens/Bronx.', 'Keep right to take I 278 East/Brooklyn-Queens Expressway.', 'Keep right to take exit 35A-B onto I 495/Long Island Expressway toward Eastern Long Island.', 'Keep right to take exit 35B onto I 495 East toward Eastern Long Island.', 'Keep left to take exit 35E onto I 495 East toward Eastern Long Island.', 'Keep left to take I 495 East toward Eastern Long Island.', 'Take exit 22A-E on the right onto I 678 toward Grand Central Parkway/Van Wyck Expressway.', 'Take exit 22A on the right toward Grand Central Parkway East.', 'Keep right to take exit 13 onto I 678 South toward Van Wyck Expressway/Kennedy Airport.', 'Take exit 1E onto NY 27 East toward Belt Parkway East/Eastern Long Island.', 'Keep left to take exit 1E onto NY 27 East toward Eastern Long Island/Belt Parkway East.', 'Keep left to take BP/Belt Parkway toward Belt Parkway East/Eastern Long Island.', 'Take exit 23B on the right onto NY 27 toward Sunrise Highway/Brookville Boulevard.', 'Make a left U-turn onto NY 27/Sunrise Highway.', 'Take the NY 135 North ramp on the right toward Syosset.', 'Take exit 5 on the right onto NY 107 toward Hicksville/Massapequa.', 'Turn left onto Hicksville Road/NY 107. Continue on Hicksville Road.', 'Keep right to take Old South Oyster Bay Road.', 'You have arrived at your destination.'], ['Drive northeast on Elk Street.', 'Turn left onto Reade Street.', 'Turn left onto Broadway.', 'Turn left onto Chambers Street.', 'Turn right onto Centre Street.', 'Turn left onto Brooklyn Bridge.', 'Take the I 278 exit on the right toward Cadman Plaza West.', 'Turn left onto Cadman Plaza West.', 'Bear right onto Court Street.', 'Turn left onto Union Street.', 'Bear left onto Plaza Street West.', 'Bear right onto Flatbush Avenue.', 'Turn left onto Caton Avenue/NY 27. Continue on NY 27.', 'Turn right onto Bedford Avenue.', 'Turn left onto Church Avenue.', 'Bear right onto Linden Boulevard.', 'Turn left onto Rockaway Parkway.', 'Turn right onto NY 27/Linden Boulevard.', 'Keep left to stay on NY 27.', 'Keep left to take NY 27/South Conduit Avenue.', 'Keep right to stay on NY 27/South Conduit Avenue toward JFK Long Term Parking/Kiss & Fly.', 'Take the ramp toward Belt Parkway/Eastern Long Island.', 'Take exit 23B on the right onto NY 27 toward Sunrise Highway/Brookville Boulevard.', 'Make a left U-turn onto NY 27/Sunrise Highway.', 'Take the NY 135 North ramp on the right toward Syosset.', 'Take exit 5 on the right onto NY 107 toward Hicksville/Massapequa.', 'Turn left onto Hicksville Road/NY 107. Continue on Hicksville Road.', 'Keep right to take Old South Oyster Bay Road.', 'You have arrived at your destination.'], ['Drive northeast on Elk Street.', 'Turn left onto Reade Street.', 'Turn left onto Broadway.', 'Turn left onto Chambers Street.', 'Turn right onto Centre Street.', 'Turn left onto Brooklyn Bridge.', 'Take the I 278 exit on the right toward Cadman Plaza West.', 'Turn left onto Cadman Plaza West.', 'Make a left U-turn to stay on Cadman Plaza West.', 'Make a left U-turn to stay on Cadman Plaza West.', 'Bear right onto Court Street.', 'Turn left onto Union Street.', 'Bear left onto Plaza Street West.', 'Bear right onto Flatbush Avenue.', 'Turn left onto Caton Avenue/NY 27. Continue on NY 27.', 'Turn right onto Bedford Avenue.', 'Turn left onto Church Avenue.', 'Bear right onto Linden Boulevard.', 'Turn left onto Rockaway Parkway.', 'Turn right onto NY 27/Linden Boulevard.', 'Keep left to stay on NY 27.', 'Keep left to take NY 27/South Conduit Avenue.', 'Keep right to stay on NY 27/South Conduit Avenue toward JFK Long Term Parking/Kiss & Fly.', 'Take the ramp toward Belt Parkway/Eastern Long Island.', 'Take exit 23B on the right onto NY 27 toward Sunrise Highway/Brookville Boulevard.', 'Make a left U-turn onto NY 27/Sunrise Highway.', 'Take the NY 135 North ramp on the right toward Syosset.', 'Take exit 5 on the right onto NY 107 toward Hicksville/Massapequa.', 'Turn left onto Hicksville Road/NY 107. Continue on Hicksville Road.', 'Keep right to take Old South Oyster Bay Road.', 'You have arrived at your destination.']]"
4,"[[-105.1517817, 39.95190922], [-104.8943343, 39.72205278]]","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (LOUISVILLE, CO) to EATING RECOVERY CENTER BEHAVIORAL HEALTH (DENVER, CO)","[['Drive southeast.', 'Turn left onto Health Park Drive.', 'Turn left onto South 88th Street.', 'Turn left onto West Dillon Road.', 'Turn left onto McCaslin Boulevard.', 'Take the US 36 East ramp toward Denver.', 'Keep left to stay on US 36/Denver-Boulder Turnpike toward I 76 East/I 25 North/Limon/Fort Collins.', 'Continue on I 270 East/Dwight D. Eisenhower Highway.', 'Take exit 2A on the right onto US 85 toward Vasquez Boulevard.', 'Turn left onto East 56th Avenue.', 'Turn right onto Dahlia Street.', 'Turn left toward Holly Street/Monaco Street.', 'Turn right onto Holly Street.', 'Turn left onto East Smith Road.', 'Turn right onto Kearney Street.', 'Turn left onto East 35th Avenue.', 'Turn right onto North Monaco Street Parkway.', 'Turn left onto East 6th Avenue Parkway.', 'Turn right onto North Syracuse Street.', 'Turn left onto East 4th Avenue.', 'Turn left after 488 meters or 41-51 seconds.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left onto Health Park Drive.', 'Turn left onto South 88th Street.', 'Turn left onto West Dillon Road.', 'Turn left onto McCaslin Boulevard.', 'Take the US 36 East ramp toward Denver.', 'Keep left to stay on US 36/Denver-Boulder Turnpike toward I 76 East/I 25 North/Limon/Fort Collins.', 'Continue on I 270 East/Dwight D. Eisenhower Highway.', 'Take exit 4 on the right toward Northfield Quebec Street.', 'Turn left onto North Northfield Quebec Street/CO 35 South.', 'Turn left onto Martin Luther King Jr Boulevard.', 'Turn right onto North Roslyn Street.', 'Bear right onto North Syracuse Street.', 'Turn left onto East 8th Avenue.', 'Turn right onto North Uinta Way.', 'Exit the roundabout onto North Uinta Way.', 'Turn right onto East 1st Avenue.', 'Turn left onto North Spruce Street.', 'Turn left after 66 meters or 8-10 seconds.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left onto Health Park Drive.', 'Turn left onto South 88th Street.', 'Turn left onto West Dillon Road.', 'Turn left onto McCaslin Boulevard.', 'Take the US 36 East ramp toward Denver.', 'Keep left to stay on US 36/Denver-Boulder Turnpike toward I 76 East/I 25 North/Limon/Fort Collins.', 'Continue on I 270 East/Dwight D. Eisenhower Highway.', 'Take exit 4 on the right toward Northfield Quebec Street.', 'Turn left onto North Northfield Quebec Street/CO 35 South.', 'Turn left onto East 29th Avenue.', 'Turn right onto North Roslyn Street.', 'Bear right onto North Syracuse Street.', 'Turn left onto East 8th Avenue.', 'Turn right onto North Uinta Way.', 'Exit the roundabout onto North Uinta Way.', 'Turn right onto East 1st Avenue.', 'Turn left onto North Spruce Street.', 'Turn left after 66 meters or 8-10 seconds.', 'You have arrived at your destination.']]"
5,"[[-72.65651214, 41.65674059], [-72.69730690059347, 41.7882127]]","SGT. JOHN L. LEVITOW VETERAN'S HEALTH CENTER (ROCKY HILL, CT) to Barlow, Boce W., Jr., House (Hartford, CT)","[['Drive north.', 'Turn left after 42 meters or 9-11 seconds.', 'Turn right after 161 meters or 24-29 seconds.', 'Turn right onto West Street.', 'Turn left to take the I 91 North ramp toward Hartford.', 'Keep right to take I 91 North/Henry J. Conland Highway.', 'Take exit 32A-32B onto I 84 West toward Trumbull Street.', 'Keep right to take I 91 North toward Trumbull Street.', 'Keep left to take exit 32B toward Trumbull Street.', 'Continue on Trumbull Street.', 'Turn right onto US 44/Main Street. Continue on US 44.', 'Turn right onto Blue Hills Avenue/CT 187.', 'Turn right onto Westbourne Parkway.', 'Turn left onto Canterbury Street.', 'You have arrived at your destination.'], ['Drive north.', 'Turn left after 42 meters or 9-11 seconds.', 'Turn right after 161 meters or 24-29 seconds.', 'Turn right onto West Street.', 'Turn right onto Gilbert Avenue.', 'Bear right onto Maple Street/CT 3/Daniel R. DiNardi Memorial Highway.', 'Turn left onto Griswold Road.', 'Turn right onto Prospect Street/CT 287.', 'Turn left onto Wolcott Hill Road.', 'Bear right onto Franklin Avenue.', 'Bear right onto Maple Avenue.', 'Turn left onto Jefferson Street.', 'Turn right onto Hudson Street.', 'Exit the roundabout toward I 84.', 'Turn right onto Gold Street.', 'Turn left onto Main Street.', 'Turn right onto Blue Hills Avenue/CT 187.', 'Turn right onto Westbourne Parkway.', 'Turn left onto Canterbury Street.', 'You have arrived at your destination.'], ['Drive north.', 'Turn left after 42 meters or 9-11 seconds.', 'Turn right after 161 meters or 24-29 seconds.', 'Turn right onto West Street.', 'Turn right onto Gilbert Avenue.', 'Bear right onto Maple Street/CT 3/Daniel R. DiNardi Memorial Highway.', 'Turn left onto Griswold Road.', 'Turn left onto Prospect Street/CT 287.', 'Turn right onto Ridge Road.', 'Bear right onto Maple Avenue.', 'Turn left onto Fairfield Avenue.', 'Bear right to stay on Fairfield Avenue.', 'Turn right onto New Britain Avenue.', 'Turn left onto Broad Street.', 'Turn left onto Garden Street.', 'Turn left onto US 44/Albany Avenue.', 'Turn right onto Blue Hills Avenue/CT 187.', 'Turn right onto Westbourne Parkway.', 'Turn left onto Canterbury Street.', 'You have arrived at your destination.']]"
6,"[[-77.23271330171534, 39.82275735], [-76.30799522655867, 40.04008415]]","Dobbin House (Gettysburg, PA) to Ellicott, Andrew, House (Lancaster, PA)","[['Drive northeast.', 'Turn right after 26 meters or 3-4 seconds.', 'Turn left onto Steinwehr Avenue/US 15 Business.', 'Turn left onto Baltimore Street/US 15 Business.', 'Turn right onto East High Street.', 'Turn left onto South Stratton Street.', 'Turn right onto US 30/PA 116/York Street. Continue on PA 116.', 'Turn left to take the US 15 North ramp.', 'You have arrived at your destination.'], ['Drive northeast.', 'Turn right after 26 meters or 3-4 seconds.', 'Turn left onto Steinwehr Avenue/US 15 Business.', 'Turn left onto Baltimore Street/US 15 Business.', 'Turn right onto East High Street.', 'Turn left onto South Stratton Street.', 'Turn right onto US 30/PA 116/York Street.', 'Bear left onto US 30/York Street. Continue on US 30.', 'Exit the roundabout onto US 30/Lincoln Way East. Continue on US 30.', 'Exit the roundabout onto US 30/East King Street. Continue on US 30.', 'Take the US 30 East ramp on the right toward I 83/Lancaster.', 'Bear right toward PA 741/Millersville/Rohrerstown.', 'Turn right onto Rohrerstown Road/PA 741.', 'Turn left onto Marietta Avenue/PA 23 East. Continue on PA 23 East.', 'Turn right onto North Market Street.', 'Turn right onto West Marion Street.', 'You have arrived at your destination.'], ['Drive northeast.', 'Turn right after 26 meters or 3-4 seconds.', 'Turn left onto Steinwehr Avenue/US 15 Business.', 'Turn left onto Baltimore Street/US 15 Business.', 'Turn right onto East High Street.', 'Turn left onto South Stratton Street.', 'Turn right onto US 30/PA 116/York Street.', 'Bear left onto US 30/York Street. Continue on US 30.', 'Turn right after 6911 meters or 361-441 seconds.', 'Bear right onto US 30/York Road. Continue on US 30.', 'Exit the roundabout onto US 30/Lincoln Way East. Continue on US 30.', 'Exit the roundabout onto US 30/East King Street. Continue on US 30.', 'Take the US 30 East ramp on the right toward I 83/Lancaster.', 'Bear right toward PA 741/Millersville/Rohrerstown.', 'Turn right onto Rohrerstown Road/PA 741.', 'Turn left onto Marietta Avenue/PA 23 East. Continue on PA 23 East.', 'Turn right onto North Market Street.', 'Turn right onto West Marion Street.', 'You have arrived at your destination.']]"
7,"[[-72.64756938, 41.55433726], [-72.8362394, 41.46270592]]","MIDDLESEX HOSPITAL (MIDDLETOWN, CT) to MASONICARE HEALTH CENTER (WALLINGFORD, CT)","[['Drive northwest.', 'Turn right after 24 meters or 8-10 seconds.', 'Turn right onto Crescent Street.', 'Turn left to stay on Crescent Street.', 'Turn left onto CT 66/Washington Street.', 'Take exit 1B onto I 91 South toward New Haven.', 'Take exit 17 on the right onto CT 15 South/Wilbur Cross Parkway.', 'Keep left to take CT 15 South/Wilbur Cross Parkway.', 'Take exit 58B on the right onto CT 150 toward Yalesville.', 'Turn left onto Masonic Avenue/CT 150. Continue on CT 150.', 'Bear right onto Masonic Avenue.', 'Turn right after 231 meters or 15-18 seconds.', 'Turn left after 58 meters or 14-17 seconds.', 'Turn right after 25 meters or 4 seconds.', 'You have arrived at your destination.'], ['Drive northwest.', 'Turn right after 24 meters or 8-10 seconds.', 'Turn right onto Crescent Street.', 'Turn left to stay on Crescent Street.', 'Turn left onto CT 66/Washington Street.', 'Turn right onto Newfield Street/CT 3.', 'Turn left onto Westfield Street.', 'Turn left to take the I 91 South ramp toward New Haven.', 'Take exit 17 on the right onto CT 15 South/Wilbur Cross Parkway.', 'Keep left to take CT 15 South/Wilbur Cross Parkway.', 'Take exit 58B on the right onto CT 150 toward Yalesville.', 'Turn left onto Masonic Avenue/CT 150. Continue on CT 150.', 'Bear right onto Masonic Avenue.', 'Turn right after 231 meters or 15-18 seconds.', 'Turn left after 58 meters or 14-17 seconds.', 'Turn right after 25 meters or 4 seconds.', 'You have arrived at your destination.'], ['Drive northwest.', 'Turn right after 24 meters or 8-10 seconds.', 'Turn right onto Crescent Street.', 'Turn left to stay on Crescent Street.', 'Turn left onto CT 66/Washington Street.', 'Take exit 1 toward East Main Street.', 'Bear right onto East Main Street.', 'Turn left onto Research Parkway.', 'Turn right onto Murdock Avenue.', 'Turn left to stay on Murdock Avenue.', 'Bear right onto North Farms Road.', 'Bear right onto North Elm Street.', 'Turn right onto Christian Street.', 'Turn left onto North Colony Road/US 5.', 'Turn right onto Hall Avenue/CT 150.', 'Turn left onto Masonic Avenue.', 'Turn right after 231 meters or 18-23 seconds.', 'Turn left after 58 meters or 14-17 seconds.', 'Turn right after 25 meters or 4 seconds.', 'You have arrived at your destination.']]"
8,"[[-70.37794210000001, 43.5186845], [-70.91662237076055, 44.120635755087335]]","Staples Inn (Old Orchard Beach, ME) to Parsons, Marion, House (Fryeburg, ME)","[['Drive south on Portland Avenue/ME 98.', 'Bear right onto Saco Avenue/ME 5.', 'Keep right to take I 95 North toward Portland.', 'You have arrived at your destination.'], ['Drive south on Portland Avenue/ME 98.', 'Bear right onto Saco Avenue/ME 5.', 'Take exit 1 on the right onto Industrial Park Road toward ME 112.', 'Turn left onto Industrial Park Road.', 'Turn right onto North Street/ME 112. Continue on ME 112.', 'Turn left onto Old Buxton Road.', 'Bear left onto Joy Valley Road.', 'Turn left onto US 202/ME 4/Narragansett Trail. Continue on US 202/ME 4.', 'Turn right onto Cape Road/ME 117. Continue on ME 117.', 'Bear left onto Cape Road/ME 117.', 'Turn left onto Ossipee Trail/ME 25/ME 117. Continue on ME 25/ME 117.', 'Turn right onto Grange Hall Road/ME 117. Continue on ME 117.', 'Turn left onto ME 5/ME 113/ME 117. Continue on ME 5/ME 113.', 'Turn right onto US 302/ME 5/Main Street.', 'Bear left to stay on Main Street/ME 5.', 'Turn left after 12727 meters or 646-790 seconds.', 'You have arrived at your destination.'], ['Drive north on Portland Avenue/ME 98.', 'Turn right onto Portland Road/US 1 North.', 'Turn left onto Broadturn Road.', 'Bear left onto Long Plains Road.', 'Exit the roundabout onto Ossipee Trail West/ME 25. Continue on ME 25.', 'Turn right onto Grange Hall Road/ME 117. Continue on ME 117.', 'Turn left onto ME 5/ME 113/ME 117. Continue on ME 5/ME 113.', 'Turn right onto US 302/ME 5/Main Street.', 'Bear left to stay on Main Street/ME 5.', 'Turn left after 12727 meters or 646-790 seconds.', 'You have arrived at your destination.']]"
9,"[[-104.79981854750211, 41.13862745872613], [-104.7855322, 41.14828213]]","Atlas Theatre (Cheyenne, WY) to VA MEDICAL CENTER - CHEYENNE (CHEYENNE, WY)","[['Drive east on East 16th Street.', 'Turn left onto Logan Avenue.', 'Turn right onto East 19th Street.', 'Exit the roundabout onto East Pershing Boulevard.', 'Turn left after 359 meters or 21-25 seconds.', 'Turn right after 49 meters or 11-14 seconds.', 'Turn left after 221 meters or 39-48 seconds.', 'Turn right after 82 meters or 17-21 seconds.', 'Turn right after 37 meters or 10-12 seconds.', 'You have arrived at your destination.'], ['Drive east on East 16th Street.', 'Turn right onto Rollins Avenue.', 'Turn left after 55 meters or 11-13 seconds.', 'Turn right onto Logan Avenue.', 'Turn left onto East Lincolnway/I 80 Business/US 30.', 'Turn left onto Converse Avenue.', 'Exit the roundabout onto East Pershing Boulevard.', 'Turn left after 359 meters or 21-25 seconds.', 'Turn right after 49 meters or 11-14 seconds.', 'Turn left after 221 meters or 39-48 seconds.', 'Turn right after 82 meters or 17-21 seconds.', 'Turn right after 37 meters or 10-12 seconds.', 'You have arrived at your destination.'], ['Drive east on East 16th Street.', 'Turn right onto Rollins Avenue.', 'Turn left after 55 meters or 11-13 seconds.', 'Turn right onto Logan Avenue.', 'Turn left onto East Lincolnway/I 80 Business/US 30.', 'Turn left onto Hot Springs Avenue.', 'Turn left onto Henderson Drive.', 'Turn right after 141 meters or 19-23 seconds.', 'Turn left after 221 meters or 39-48 seconds.', 'Turn right after 82 meters or 17-21 seconds.', 'Turn right after 37 meters or 10-12 seconds.', 'You have arrived at your destination.']]"
