prompt,ground_truth,response
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Coit Memorial Tower (San Francisco, CA) to QUEEN OF THE VALLEY HOSPITAL - NAPA (NAPA, CA)

  Route steps:
['Drive north on Telegraph Hill Boulevard.', 'Bear left onto Lombard Street.', 'Turn left onto Columbus Avenue.', 'Turn right onto Broadway.', 'Turn right onto US 101 North/Van Ness Avenue.', 'Turn left onto US 101 North/Lombard Street. Continue on US 101 North.', 'Keep right to take CA 37 toward Napa.', 'Take exit 19 on the right onto CA 29 toward Napa.', 'Bear left onto CA 29/Sonoma Boulevard. Continue on CA 29.', 'Keep left to stay on CA 29.', 'Take exit 19 on the right toward Trancas Street/Redwood Road.', 'Turn right onto Trancas Street.', 'Turn left after 937 meters or 77-94 seconds.', 'Turn right after 146 meters or 20-24 seconds.', 'Continue for 21 meters or 8-9 seconds.', 'Your destination is on the right.']

Question:
  After Step 13, is the driver still on ‘CA 29‘ from Step 9?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,Yes
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: St. Augustine Hall (Kansas City, KS) to Atchison Post Office (Atchison, KS)

  Route steps:
['Drive west on Parallel Avenue.', 'Turn right after 13 meters or 1-2 seconds.', 'Turn left onto Quindaro Boulevard.', 'Turn right toward US 69 North/North 7th Street Trafficway.', 'Keep left to take I 635 North/Harry Darby Memorial Highway.', 'Take exit 11B onto MO 9 North toward Parkville.', 'Turn left onto Main Street.', 'Turn right onto West Mill Street/MO FF.', 'Enter the roundabout and take the 2nd exit onto Northwest Union Chapel Road.', 'Enter the roundabout and take the 2nd exit onto Tom Watson Parkway/MO 45 North.', 'Enter the roundabout and take the 2nd exit onto Tom Watson Parkway/MO 45 North.', 'Turn left toward Atchison.', 'Turn right onto South 4th Street.', 'Turn left onto Main Street.', 'Bear left onto 286th Road.', 'Turn right onto South Broadway Street.', 'Turn left onto South 4th Street.', 'Turn right onto Kansas Street.', 'Continue for 230 meters or 26-32 seconds.', 'You have arrived at your destination.']

Question:
  After Step 16, is the driver still on ‘286th Road‘ from Step 15?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,Yes
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: EVANSTON HOSPITAL (EVANSTON, IL) to Clarke, Henry B., House (Chicago, IL)

  Route steps:
['Drive east.', 'Turn right onto Ridge Avenue.', 'Turn left onto Central Street.', 'Turn right onto Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Bear right onto Forest Place.', 'Bear left onto Forest Avenue.', 'Turn left onto Hamilton Street.', 'Turn right onto Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Bear right onto North Sheridan Road.', 'Bear left onto West Sheridan Road.', 'Turn left onto North Jean Baptiste Point DuSable Lake Shore Drive.', 'Take the exit on the right toward Grand Avenue/Illinois Street/Navy Pier/Wacker Drive.', 'Turn right onto East Grand Avenue.', 'Turn left onto North Lower Michigan Avenue.', 'Turn left onto East Lower Wacker Drive.', 'Take the exit on the right toward Lake Shore Drive South/US 41 South.', 'Turn right onto East Roosevelt Road.', 'Turn left onto South Indiana Avenue.', 'Continue for 1124 meters or 113-138 seconds.', 'Your destination is on the right.']

Question:
  After Step 13, is the driver still on ‘Forest Place‘ from Step 6?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,No
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: First Baptist Church (Columbus, IN) to Thompson, William N., House (Indianapolis, IN)

  Route steps:
['Drive north.', 'Turn left onto Fairlawn Drive.', 'Enter the roundabout and take the 2nd exit onto Taylor Road.', 'Turn left onto County Road 550 North.', 'Turn right onto US 31.', 'Take the I 65 ramp on the right.', 'Keep right to take I 65 North/I 70 East toward Chicago/Columbus Ohio.', 'Keep right to stay on I 65/Kenneth ""Babyface"" Edmonds Highway.', 'Take the exit on the right after 1421 meters or 56-68 seconds.', 'Turn right onto North Meridian Street.', 'Bear left to stay on North Meridian Street.', 'Turn right after 1070 meters or 63-77 seconds.', 'Bear left after 40 meters or 44-54 seconds.', 'Continue for 32 meters or 11-13 seconds.', 'Your destination is on the right.']

Question:
  After Step 8, is the driver still on ‘I 65‘ from Step 6?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,Yes
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Frazier's, Joe, Gym (Philadelphia, PA) to Maxwell, Ebenezer, House (Philadelphia, PA)

  Route steps:
['Drive west.', 'Turn right onto North Broad Street/PA 611.', 'Make a left U-turn to stay on North Broad Street/PA 611.', 'Make a sharp right onto Germantown Avenue.', 'Turn left after 1667 meters or 153-187 seconds.', 'Turn left onto West Berkley Street.', 'Turn right onto Greene Street.', 'Continue for 2584 meters or 301-368 seconds.', 'Your destination is on the left.']

Question:
  After Step 6, is the driver still on ‘North Broad Street‘ from Step 2?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,No
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Sutter, Johann Agust, House (Lititz, PA) to SCHUYLKILL MEDICAL CENTER EAST NORWEGIAN STREET (POTTSVILLE, PA)

  Route steps:
['Drive west on East Main Street/PA 772.', 'Turn right onto North Locust Street.', 'Turn right onto Brunnerville Road.', 'Turn left onto East Newport Road.', 'Turn right onto Snyder Hill Road.', 'Turn left to stay on Snyder Hill Road.', 'Turn right onto Union House Road.', 'Turn left onto Chestnut Street.', 'Turn right onto Loop Road.', 'Turn left onto Maria Street.', 'Turn left onto Four Point Road/PA 419.', 'Turn left onto PA 183.', 'Keep right to take Cressona Road.', 'Bear left onto Hotel Street.', 'Turn right onto Morris Street.', 'Turn left onto South Centre Street.', 'Turn right onto Mauch Chunk Street/US 209.', 'Turn left onto South Jackson Street.', 'Turn right onto East Norwegian Street.', 'Turn left onto Tremont Street.', 'Bear right after 32 meters or 4-5 seconds.', 'Continue for 38 meters or 5-6 seconds.', 'Your destination is on the right.']

Question:
  After Step 9, is the driver still on ‘Snyder Hill Road‘ from Step 5?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,Yes
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: LAHEY CLINIC MEDICAL CENTER (BURLINGTON, MA) to Chandler-Hidden House (Andover, MA)

  Route steps:
['Drive north.', 'Turn right after 24 meters or 8-10 seconds.', 'Turn right onto Burlington Woods Drive.', 'Make a sharp left to stay on Burlington Woods Drive.', 'Turn right onto Burlington Mall Road.', 'Turn left onto Cambridge Street/MA 3A.', 'Turn left onto Francis Wyman Road/MA 62.', 'Turn right onto Bedford Street/MA 62. Continue on MA 62.', 'Make a sharp left onto Burlington Road/MA 62. Continue on MA 62.', 'Turn left onto Francis Wyman Road/MA 62.', 'Turn right onto Cambridge Street/MA 3A/MA 62.', 'Turn left onto Wilmington Road/MA 62. Continue on MA 62.', 'Turn right onto Burlington Avenue/MA 62. Continue on MA 62.', 'Turn right onto Main Street/MA 28/MA 62.', 'Turn left onto Winter Street/MA 62.', 'Make a sharp left to stay on Winter Street/MA 62.', 'Turn right onto Main Street/MA 28/MA 62. Continue on MA 28.', 'Turn left onto Hidden Road.', 'Continue for 177 meters or 14-17 seconds.', 'Your destination is on the right.']

Question:
  After Step 9, is the driver still on ‘Burlington Mall Road‘ from Step 5?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,No
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Hollywood Burbank Airport (BURBANK, CA) to John Wayne Orange County International Airport (SANTA ANA, CA)

  Route steps:
['Drive west.', 'Turn left onto Keswick Street.', 'Turn right onto Clyborne Avenue.', 'Turn right to stay on Clyborne Avenue.', 'Turn left onto San Fernando Road.', 'Turn right onto Sunland Boulevard.', 'Turn right onto Roscoe Boulevard.', 'Take the I 5 South ramp toward Los Angeles.', 'Keep left to stay on I 5 South.', 'Keep left to take Santa Ana Freeway.', 'Keep left to stay on Santa Ana Freeway.', 'Take the CA 55 South exit.', 'Take exit 5B on the right toward Baker Street.', 'Turn left onto Paularino Avenue.', 'Continue for 907 meters or 108-132 seconds.', 'You have arrived at your destination.']

Question:
  After Step 11, is the driver still on ‘I 5‘ from Step 9?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,No
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Cincinnati Northern Kentucky International Airport (CINCINNATI / COVINGTON, KY) to First Presbyterian Church (Lexington, KY)

  Route steps:
['Drive south.', 'Turn left after 1782 meters or 285-348 seconds.', 'Turn right after 958 meters or 126-154 seconds.', 'Bear left onto Limaburg-Creek Road.', 'Turn left onto Burlington Pike/KY 18 East. Continue on Burlington Pike.', 'Turn left onto Burlington Pike/KY 18.', 'Turn right to stay on Burlington Pike/KY 18.', 'Turn right to take the I 75 South ramp toward Lexington/Louisville.', 'Take exit 110 on the right onto US 60 toward Lexington.', 'Turn right onto US 60/Winchester Road.', 'Bear left onto Midland Avenue/US 60.', 'Turn right onto East Main Street/US 25/US 60/US 421. Continue on US 25/US 60/US 421.', 'Turn right onto North Mill Street.', 'Continue for 232 meters or 26-31 seconds.', 'Your destination is on the right.']

Question:
  After Step 14, is the driver still on ‘North Mill Street‘ from Step 13?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for travel routes.
Benchmark: Reaching Definitions
Definition: Tracks which definitions (assignments) of variables can reach a particular program point without being overridden.

Given the following travel planning scenario:

  Goal: Aborn, John, House (Cambridge, MA) to Smith House (Ipswich, MA)

  Route steps:
['Drive southeast on Orchard Street.', 'Turn right onto Beech Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto Alewife Brook Parkway/MA 16.', 'Enter the roundabout and take the 2nd exit onto Mystic Valley Parkway/MA 16.', 'Bear left to stay on Mystic Valley Parkway/MA 16.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Keep left to take I 93 North toward Concord New Hampshire.', 'Take exit 28A on the right onto I 95 North toward Peabody.', 'Keep right to stay on I 95 North toward Portsmouth New Hampshire.', 'Take exit 70 on the right onto US 1 toward Topsfield.', 'Keep right to stay on US 1.', 'Turn right onto Ipswich Road.', 'Bear right onto Topsfield Road.', 'Bear right onto Market Street.', 'Keep right to stay on Market Street.', 'Turn right onto South Main Street/MA 1A/MA 133.', 'Keep right to stay on MA 1A/MA 133.', 'Turn left onto Argilla Road.', 'Turn left after 3571 meters or 233-285 seconds.', 'Continue for 113 meters or 16-19 seconds.', 'Your destination is on the left.']

Question:
  After Step 11, is the driver still on ‘Mystic Valley Parkway‘ from Step 5?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,No
