model,benchmark,seconds
deepseek_r1_8b,available_expressions,1041.99
llama3_1,available_expressions,12.29
granite_code_8b,available_expressions,25.52
deepseek_r1_8b,concurrency_analysis,947.38
llama3_1,concurrency_analysis,12.31
granite_code_8b,concurrency_analysis,72.02
deepseek_r1_8b,interval_analysis,3301.35
llama3_1,interval_analysis,218.60
granite_code_8b,interval_analysis,38.88
deepseek_r1_8b,live_variable_analysis,686.00
llama3_1,live_variable_analysis,13.56
granite_code_8b,live_variable_analysis,24.67
deepseek_r1_8b,reaching_definitions,700.30
llama3_1,reaching_definitions,13.43
granite_code_8b,reaching_definitions,19.61
deepseek_r1_8b,taint_analysis,825.89
llama3_1,taint_analysis,12.21
granite_code_8b,taint_analysis,44.48
deepseek_r1_8b,type_state_analysis,752.69
llama3_1,type_state_analysis,12.03
granite_code_8b,type_state_analysis,45.48
deepseek_r1_8b,very_busy_expressions,834.98
llama3_1,very_busy_expressions,11.91
granite_code_8b,very_busy_expressions,29.51
