prompt,ground_truth,response
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at c0 l1) (at c1 l3) (at c2 l2))

  Plan steps:
1: board(c2, l1)
2: sail(l1, l2)
3: debark(c2, l2)
4: board(c1, l2)
5: sail(l2, l3)
6: debark(c1, l3)

Question:
  If Step 3 (debark) were skipped, would Step 4 (board) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s3) (at package2 s1))

  Plan steps:
1: board-truck(driver2, truck1, s3)
2: drive-truck(truck1, s3, s2, driver2)
3: load-truck(package2, truck1, s2)
4: drive-truck(truck1, s2, s1, driver2)
5: unload-truck(package2, truck1, s1)

Question:
  If Step 3 (load-truck) were skipped, would Step 4 (drive-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s3) (at package2 s3))

  Plan steps:
1: board-truck(driver2, truck2, s2)
2: load-truck(package2, truck2, s2)
3: drive-truck(truck2, s2, s3, driver2)
4: unload-truck(package2, truck2, s3)

Question:
  If Step 1 (board-truck) were skipped, would Step 2 (load-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3))

  Plan steps:
1: move(d1, peg3, peg1)
2: move(d2, d3, peg3)
3: move(d1, peg1, d2)
4: move(d3, peg2, peg1)
5: move(d1, d2, peg2)
6: move(d2, peg3, d3)
7: move(d1, peg2, d2)

Question:
  If Step 3 (move) were skipped, would Step 4 (move) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"No
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (on d1 peg1) (clear d1) (on d2 peg2) (clear d2) (clear peg3))

  Plan steps:
1: move(d2, peg1, peg2)
2: move(d1, peg3, peg1)

Question:
  If Step 1 (move) were skipped, would Step 2 (move) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"No
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s4) (at package2 s1) (at package3 s4) (at package4 s2))

  Plan steps:
1: board-truck(driver2, truck1, s4)
2: load-truck(package2, truck1, s4)
3: drive-truck(truck1, s4, s1, driver2)
4: load-truck(package4, truck1, s1)
5: unload-truck(package2, truck1, s1)
6: load-truck(package1, truck1, s1)
7: drive-truck(truck1, s1, s4, driver2)
8: unload-truck(package1, truck1, s4)
9: drive-truck(truck1, s4, s2, driver2)
10: unload-truck(package4, truck1, s2)

Question:
  If Step 3 (drive-truck) were skipped, would Step 4 (load-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s1) (at package2 s1))

  Plan steps:
1: walk(driver1, s1, s3)
2: board-truck(driver1, truck1, s3)
3: drive-truck(truck1, s3, s2, driver1)
4: load-truck(package1, truck1, s2)
5: drive-truck(truck1, s2, s1, driver1)
6: unload-truck(package1, truck1, s1)

Question:
  If Step 3 (drive-truck) were skipped, would Step 4 (load-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"No
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 peg2) (on d3 peg1) (clear d3) (clear peg3))

  Plan steps:
1: move(d1, d2, d3)
2: move(d2, peg1, peg2)
3: move(d1, d3, d2)
4: move(d3, peg3, peg1)

Question:
  If Step 2 (move) were skipped, would Step 3 (move) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s2) (at package3 s2))

  Plan steps:
1: board-truck(driver1, truck1, s2)
2: drive-truck(truck1, s2, s1, driver1)
3: load-truck(package3, truck1, s1)
4: load-truck(package2, truck1, s1)
5: load-truck(package1, truck1, s1)
6: drive-truck(truck1, s1, s2, driver1)
7: unload-truck(package3, truck1, s2)
8: unload-truck(package2, truck1, s2)
9: unload-truck(package1, truck1, s2)

Question:
  If Step 4 (load-truck) were skipped, would Step 5 (load-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 peg3) (on d3 peg1) (clear d3) (clear peg2))

  Plan steps:
1: move(d1, d3, d2)
2: move(d3, peg2, peg1)

Question:
  If Step 1 (move) were skipped, would Step 2 (move) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"No
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s4) (at package2 s2) (at package3 s2) (at package4 s3))

  Plan steps:
1: board-truck(driver1, truck2, s3)
2: drive-truck(truck2, s3, s1, driver1)
3: load-truck(package4, truck2, s1)
4: load-truck(package1, truck2, s1)
5: drive-truck(truck2, s1, s3, driver1)
6: unload-truck(package4, truck2, s3)
7: drive-truck(truck2, s3, s4, driver1)
8: load-truck(package3, truck2, s4)
9: load-truck(package2, truck2, s4)
10: unload-truck(package1, truck2, s4)
11: drive-truck(truck2, s4, s2, driver1)
12: unload-truck(package3, truck2, s2)
13: unload-truck(package2, truck2, s2)

Question:
  If Step 2 (drive-truck) were skipped, would Step 3 (load-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3))

  Plan steps:
1: move(d1, peg2, d3)
2: move(d2, peg1, peg2)
3: move(d1, d3, d2)
4: move(d3, peg3, peg1)
5: move(d1, d2, peg3)
6: move(d2, peg2, d3)
7: move(d1, peg3, d2)

Question:
  If Step 2 (move) were skipped, would Step 3 (move) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s1) (at package3 s2))

  Plan steps:
1: board-truck(driver1, truck1, s1)
2: load-truck(package3, truck1, s1)
3: load-truck(package1, truck1, s1)
4: drive-truck(truck1, s1, s2, driver1)
5: unload-truck(package3, truck1, s2)
6: unload-truck(package1, truck1, s2)

Question:
  If Step 5 (unload-truck) were skipped, would Step 6 (unload-truck) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",No,"Yes
"
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Type-State Analysis
Definition: Ensures an object is used only in valid states (e.g., a file must be opened before reading).

Given the following planning task:

  Goal: (and (at c0 l3) (at c1 l3) (at c2 l2))

  Plan steps:
1: sail(l3, l1)
2: board(c0, l1)
3: sail(l1, l3)
4: debark(c0, l3)

Question:
  If Step 1 (sail) were skipped, would Step 2 (board) become invalid?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,"Yes
"
