prompt,ground_truth,response
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at package1 s1) (at package2 s3))

  Plan steps:
1: board-truck(driver2, truck1, s1)
2: load-truck(package2, truck1, s1)
3: drive-truck(truck1, s1, s2, driver2)
4: load-truck(package1, truck1, s2)
5: drive-truck(truck1, s2, s1, driver2)
6: unload-truck(package1, truck1, s1)
7: drive-truck(truck1, s1, s3, driver2)
8: unload-truck(package2, truck1, s3)

Question:
  Is the effect '('driving', 'driver2', 'truck1')' from Step 1 (board-truck) still available for Step 3 (drive-truck)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at c0 l0) (at c1 l0) (at c2 l0))

  Plan steps:
1: sail(l2, l1)
2: board(c2, l1)
3: sail(l1, l0)
4: debark(c2, l0)
5: sail(l0, l3)
6: board(c0, l3)
7: sail(l3, l0)
8: debark(c0, l0)

Question:
  Is the effect '('at-ferry', 'l1')' from Step 1 (sail) still available for Step 2 (board)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg2) (clear peg1) (clear peg3))

  Plan steps:
1: move(d1, d3, peg1)
2: move(d2, peg3, d3)
3: move(d1, peg1, d2)

Question:
  Is the effect '('clear', 'd3')' from Step 1 (move) still available for Step 2 (move)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at c0 l2) (at c1 l1) (at c2 l0))

  Plan steps:
1: board(c1, l2)
2: sail(l2, l1)
3: debark(c1, l1)
4: sail(l1, l3)
5: board(c0, l3)
6: sail(l3, l2)
7: debark(c0, l2)
8: sail(l2, l3)
9: board(c2, l3)
10: sail(l3, l0)
11: debark(c2, l0)

Question:
  Is the effect '('at-ferry', 'l1')' from Step 2 (sail) still available for Step 3 (debark)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s3))

  Plan steps:
1: walk(driver1, s1, s3)
2: board-truck(driver1, truck1, s3)
3: drive-truck(truck1, s3, s2, driver1)
4: load-truck(package2, truck1, s2)
5: drive-truck(truck1, s2, s3, driver1)
6: unload-truck(package2, truck1, s3)

Question:
  Is the effect '('at', 'driver1', 's3')' from Step 1 (walk) still available for Step 2 (board-truck)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,Yes
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at c0 l3) (at c1 l1) (at c2 l2))

  Plan steps:
1: sail(l1, l2)
2: board(c0, l2)
3: sail(l2, l3)
4: debark(c0, l3)
5: board(c2, l3)
6: sail(l3, l2)
7: debark(c2, l2)

Question:
  Is the effect '('at-ferry', 'l2')' from Step 1 (sail) still available for Step 2 (board)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,Yes
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (on d1 peg1) (clear d1) (on d2 d3) (clear d2) (on d3 peg2) (clear peg3))

  Plan steps:
1: move(d2, peg2, peg3)
2: move(d1, d3, d2)
3: move(d3, peg1, peg2)
4: move(d1, d2, peg1)
5: move(d2, peg3, d3)

Question:
  Is the effect '('clear', 'peg2')' from Step 1 (move) still available for Step 3 (move)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,Yes
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s1) (at package3 s2))

  Plan steps:
1: board-truck(driver1, truck1, s1)
2: load-truck(package3, truck1, s1)
3: drive-truck(truck1, s1, s2, driver1)
4: unload-truck(package3, truck1, s2)
5: load-truck(package2, truck1, s2)
6: drive-truck(truck1, s2, s1, driver1)
7: unload-truck(package2, truck1, s1)

Question:
  Is the effect '('driving', 'driver1', 'truck1')' from Step 1 (board-truck) still available for Step 3 (drive-truck)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (on d1 peg2) (clear d1) (on d2 d3) (clear d2) (on d3 peg1) (clear peg3))

  Plan steps:
1: move(d1, d3, d2)
2: move(d3, peg2, peg1)
3: move(d1, d2, peg2)
4: move(d2, peg3, d3)

Question:
  Is the effect '('clear', 'd3')' from Step 1 (move) still available for Step 2 (move)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,No
"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Available Expressions
Definition: An expression is available if it has already been computed and its operands have not been redefined since.

Given the following planning task:

  Goal: (and (on d1 peg3) (clear d1) (on d2 d3) (clear d2) (on d3 peg1) (clear peg2))

  Plan steps:
1: move(d1, peg1, d2)
2: move(d3, peg3, peg1)
3: move(d1, d2, peg3)
4: move(d2, peg2, d3)

Question:
  Is the effect '('clear', 'peg1')' from Step 1 (move) still available for Step 2 (move)?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly.",Yes,Yes
