model,benchmark,seconds
deepseek_r1_8b,available_expressions,947.62
llama3_1,available_expressions,12.14
granite_code_8b,available_expressions,37.89
deepseek_r1_8b,concurrency_analysis,842.37
llama3_1,concurrency_analysis,11.58
granite_code_8b,concurrency_analysis,49.71
deepseek_r1_8b,interval_analysis,2684.45
llama3_1,interval_analysis,198.23
granite_code_8b,interval_analysis,35.42
deepseek_r1_8b,live_variable_analysis,774.29
llama3_1,live_variable_analysis,12.87
granite_code_8b,live_variable_analysis,21.56
deepseek_r1_8b,reaching_definitions,809.18
llama3_1,reaching_definitions,13.22
granite_code_8b,reaching_definitions,23.43
deepseek_r1_8b,taint_analysis,794.76
llama3_1,taint_analysis,11.61
granite_code_8b,taint_analysis,61.37
deepseek_r1_8b,type_state_analysis,788.54
llama3_1,type_state_analysis,12.45
granite_code_8b,type_state_analysis,49.82
deepseek_r1_8b,very_busy_expressions,835.91
llama3_1,very_busy_expressions,11.33
granite_code_8b,very_busy_expressions,27.68
