model,benchmark,seconds
deepseek_r1_8b,available_expressions,721.11
llama3_1,available_expressions,11.61
granite_code_8b,available_expressions,47.50
deepseek_r1_8b,concurrency_analysis,922.53
llama3_1,concurrency_analysis,11.87
granite_code_8b,concurrency_analysis,75.21
deepseek_r1_8b,interval_analysis,478.83
llama3_1,interval_analysis,143.07
granite_code_8b,interval_analysis,62.43
deepseek_r1_8b,live_variable_analysis,644.19
llama3_1,live_variable_analysis,11.65
granite_code_8b,live_variable_analysis,37.47
deepseek_r1_8b,reaching_definitions,397.37
llama3_1,reaching_definitions,11.73
granite_code_8b,reaching_definitions,25.84
deepseek_r1_8b,taint_analysis,537.53
llama3_1,taint_analysis,12.01
granite_code_8b,taint_analysis,50.04
deepseek_r1_8b,type_state_analysis,705.63
llama3_1,type_state_analysis,11.71
granite_code_8b,type_state_analysis,38.08
deepseek_r1_8b,very_busy_expressions,427.98
llama3_1,very_busy_expressions,12.06
granite_code_8b,very_busy_expressions,32.93
