model,benchmark,seconds
deepseek_r1_8b,available_expressions,902.44
llama3_1,available_expressions,11.83
granite_code_8b,available_expressions,36.92
deepseek_r1_8b,concurrency_analysis,810.06
llama3_1,concurrency_analysis,11.42
granite_code_8b,concurrency_analysis,49.08
deepseek_r1_8b,interval_analysis,2601.17
llama3_1,interval_analysis,196.37
granite_code_8b,interval_analysis,34.23
deepseek_r1_8b,live_variable_analysis,756.14
llama3_1,live_variable_analysis,12.99
granite_code_8b,live_variable_analysis,21.01
deepseek_r1_8b,reaching_definitions,784.84
llama3_1,reaching_definitions,13.14
granite_code_8b,reaching_definitions,23.76
deepseek_r1_8b,taint_analysis,788.97
llama3_1,taint_analysis,11.52
granite_code_8b,taint_analysis,61.23
deepseek_r1_8b,type_state_analysis,799.14
llama3_1,type_state_analysis,12.07
granite_code_8b,type_state_analysis,49.03
deepseek_r1_8b,very_busy_expressions,831.38
llama3_1,very_busy_expressions,11.25
granite_code_8b,very_busy_expressions,27.52
